dates,satname,nzd0369-0000,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0080,nzd0369-0081,nzd0369-0082,nzd0369-0083,nzd0369-0084,nzd0369-0085,nzd0369-0086,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0090,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0099,nzd0369-0100,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0118,nzd0369-0119,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0130,nzd0369-0131,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0025,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0030,nzd0369-0031,nzd0369-0032,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0037,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0042,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0053,nzd0369-0054,nzd0369-0055,nzd0369-0056,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0062,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0066,nzd0369-0067,nzd0369-0068,nzd0369-0069,nzd0369-0070,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0074,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0079,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152
2000-03-30 21:59:45.397000,L7,,,,,,,512.12,464.38,406.53,517.02,494.12,452.95,445.33,435.96,423.94,409.81,394.77,404.41,425.13,425.41,411.35,399.19,380.19,364.52,366.78,377.07,390.29,367.44,362.59,401.72,393.96,356.63,329.08,322.34,308.48,306.87,303.53,320.52,350.83,384.66,386.21,373.46,371.48,364.58,360.82,341.16,339.97,323.89,306.77,316.50,323.03,307.23,292.07,292.65,278.85,266.81,261.36,248.93,233.98,233.93,218.56,215.57,199.19,193.95,175.76,174.51,170.69,165.29,164.04,151.77,155.98,,,,,,435.76,202.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.06,508.33,502.01,491.71,482.62,481.19,487.64,489.72,495.53,511.44,511.37,485.65,474.30,464.08,,,,,,,,
2000-04-15 21:59:31.785000,L7,522.90,457.35,422.81,417.80,399.51,351.75,239.01,160.89,253.95,203.13,192.83,519.43,511.27,500.77,498.70,479.49,464.91,486.58,493.65,482.74,473.66,461.34,441.72,416.41,429.37,492.94,445.36,522.52,521.09,518.04,478.26,424.64,374.63,415.70,355.62,353.77,348.24,373.51,422.98,446.13,439.83,431.03,423.60,422.60,434.04,404.94,401.24,399.25,368.78,357.53,400.53,430.50,431.54,351.79,340.01,335.29,343.52,323.81,306.28,298.48,304.69,286.00,274.70,270.33,261.57,245.68,233.00,236.52,222.76,217.00,203.65,193.64,192.06,189.27,173.19,160.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,,,,,,,507.16,450.22,403.28,351.21,305.09,442.58,431.72,414.27,407.59,399.90,391.82,390.21,416.89,414.78,399.25,387.71,371.96,352.44,350.16,360.18,382.44,353.68,359.56,394.10,382.23,347.30,327.35,317.43,309.09,301.35,298.16,314.13,338.65,373.57,374.60,362.60,355.07,353.94,206.93,,310.13,154.44,273.23,293.71,292.66,285.51,275.59,273.58,257.78,243.63,246.49,205.28,217.44,212.37,201.93,193.68,183.98,175.36,164.47,162.92,162.14,,,,,,,,,,257.05,205.20,,,,,,,,,234.69,241.02,227.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.49,467.13,430.00,424.84,451.14,465.76,482.51,180.60,291.54,381.95,477.04,471.66,464.99,336.76,,,,,,,,
2000-05-17 21:59:19.400000,L7,,,,,,,527.67,476.36,422.10,369.89,336.25,433.47,426.85,415.91,403.40,402.84,397.60,391.99,416.27,411.41,394.24,384.75,371.72,355.21,346.60,364.96,387.16,361.26,371.90,410.72,404.26,365.66,342.44,341.29,341.36,326.22,314.68,317.62,357.06,396.25,399.15,414.28,422.91,430.87,438.79,422.17,433.34,420.18,444.08,380.89,381.97,391.43,369.71,355.64,310.61,342.97,332.08,246.50,229.69,222.72,208.82,208.10,179.71,181.60,163.46,165.36,163.92,,,,,,,,,,268.48,216.45,156.82,,,,,,,,,,,,,,,,183.79,304.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.92,340.81,337.62,409.10,415.51,448.37,462.88,486.80,481.56,478.19,486.20,476.53,467.33,458.53,445.83,,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,530.46,474.39,436.32,377.88,349.99,408.04,407.04,400.87,388.14,392.50,376.25,388.68,409.94,399.57,381.20,374.82,366.05,356.52,343.34,355.39,370.38,341.37,344.22,381.81,365.10,338.03,321.17,311.12,300.77,294.09,282.41,287.62,317.94,358.17,354.62,334.28,316.14,279.05,427.75,451.97,383.84,,,,,,,,,,225.13,184.85,198.01,194.94,190.08,177.40,168.19,167.52,157.80,155.22,153.89,,,,,,,,,,284.74,225.95,166.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.99,485.67,478.83,389.38,449.05,,,,,,,,470.89,474.91,473.36,474.44,359.48,362.02,512.70,490.22,358.21,369.58,361.26,331.56,418.11,444.14,475.18,472.46,465.17,475.28,457.74,393.49,447.92,413.93,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,519.73,473.69,417.53,363.78,323.69,449.83,446.45,426.00,412.88,406.88,401.68,403.34,417.04,424.87,399.27,391.51,379.21,357.08,350.90,364.88,383.38,359.45,361.68,404.36,395.75,358.65,348.01,324.97,307.72,302.74,304.26,307.37,334.95,377.61,373.90,366.33,378.40,368.27,366.01,339.66,356.84,363.46,342.80,305.35,306.02,353.26,349.70,338.25,305.07,316.76,309.01,207.69,253.20,280.84,280.19,259.04,178.63,181.98,164.05,160.77,166.05,153.36,,,,,,,,,277.46,217.73,155.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.11,491.25,441.58,471.68,473.78,477.21,490.25,170.80,275.79,372.77,496.81,479.03,468.66,456.45,,,,,,,,
2000-09-06 21:57:58.861000,L7,,,,,,,509.37,456.35,401.11,345.49,310.90,499.48,462.38,435.77,430.16,429.53,408.82,399.12,418.17,421.32,404.46,396.15,383.55,367.11,361.11,371.59,388.08,365.18,364.42,401.95,393.21,357.50,330.11,327.71,307.46,301.16,297.07,295.94,325.75,372.78,388.79,379.18,368.75,365.81,354.78,346.58,338.04,333.52,313.11,319.39,358.35,318.79,317.43,326.53,309.18,316.32,317.52,300.41,290.82,288.87,281.85,284.68,271.78,269.36,273.85,262.89,266.41,281.17,281.17,285.72,259.50,232.52,240.89,211.06,189.73,193.53,254.48,199.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.56,269.19,524.03,482.85,490.75,485.37,184.23,174.85,150.77,,,,,
2000-10-24 21:57:29.684000,L7,,,,481.04,476.07,452.38,417.79,381.98,338.65,263.56,225.83,515.76,495.28,460.00,451.68,479.16,462.50,437.55,438.49,451.98,436.27,435.54,414.24,409.48,416.96,401.38,404.01,393.77,383.86,499.76,411.66,388.99,358.07,349.73,333.15,328.45,325.37,355.41,420.00,427.33,437.30,422.90,391.16,387.18,376.74,445.28,411.70,393.41,440.25,376.20,393.30,376.44,510.35,445.04,500.94,515.47,499.26,496.72,483.67,446.55,422.03,371.84,318.03,339.58,350.06,305.98,287.38,297.08,214.41,295.64,355.69,387.78,361.29,267.59,214.17,265.04,174.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.22,517.38,240.38,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,488.51,490.83,504.22,442.80,389.15,356.91,296.87,258.75,,522.88,506.10,486.67,470.75,459.60,478.17,480.45,475.70,469.18,480.23,446.92,401.77,390.84,406.78,427.94,410.19,460.02,495.26,440.40,412.24,386.15,361.50,345.77,343.73,343.53,382.82,409.22,422.25,436.10,416.93,413.81,410.34,404.14,383.83,374.10,376.19,363.64,370.20,393.24,369.23,376.76,365.86,343.37,343.43,339.44,330.74,298.37,308.37,286.94,289.09,270.80,275.81,259.20,259.03,237.77,220.19,205.32,209.04,194.20,181.04,182.21,188.82,163.73,,216.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,,523.25,470.41,409.57,351.81,308.50,474.89,448.07,439.64,424.05,415.20,416.39,410.28,425.39,426.65,409.78,404.54,378.49,371.12,362.05,374.37,390.51,362.45,368.71,400.85,391.28,360.28,330.22,321.61,307.65,306.85,302.13,318.33,354.39,383.93,387.26,373.71,366.61,362.24,359.18,339.36,329.24,326.08,327.62,318.45,318.18,297.17,284.41,296.55,271.23,262.32,275.29,249.93,299.03,284.09,290.38,295.08,242.67,272.89,294.68,237.13,242.00,268.40,259.02,355.62,319.07,169.20,183.94,308.42,287.94,,267.68,205.09,445.27,458.15,485.25,464.15,457.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.31,498.71,492.50,494.01,516.50,499.14,515.34,495.66,493.43,486.60,471.68,,,,,,,,
2001-02-13 21:57:39.607000,L7,,,,,,,,,,470.96,462.05,440.46,432.67,416.30,406.91,401.82,174.86,267.38,309.87,316.70,397.65,377.14,371.12,351.37,344.67,358.02,378.94,352.78,347.22,391.00,385.57,351.62,318.51,226.07,210.92,163.99,292.54,303.86,328.07,369.69,342.83,322.93,358.42,356.33,322.06,322.34,237.76,237.45,230.38,222.97,306.35,299.01,279.78,278.37,236.93,249.10,250.95,191.83,223.04,218.61,205.90,208.11,173.85,183.46,173.09,167.78,160.63,151.80,,,,,,,,,429.84,423.04,386.22,363.34,226.98,404.53,376.80,393.99,371.82,439.26,532.05,489.55,255.03,307.10,309.17,281.57,,,,,,,,,,,,514.71,491.21,403.49,435.56,,,,,,,501.72,506.21,508.91,517.86,465.24,485.99,,,,,537.16,469.63,473.80,492.12,,,,183.55,478.32,425.96,399.98,442.00,447.45,459.27,473.32,174.59,288.06,361.51,363.11,472.15,467.74,436.81,,,,,,,,
2001-04-02 21:57:18.479000,L7,,,,,,,,,,,,454.81,373.29,405.46,355.73,393.27,383.72,385.36,416.95,408.60,370.42,356.93,361.38,355.82,355.71,361.71,315.11,359.06,345.18,207.39,319.10,250.21,248.81,246.78,219.78,240.59,191.91,244.59,287.39,282.37,318.38,317.86,251.44,,,321.72,320.22,294.70,,,,,,190.29,220.80,,325.62,314.36,299.26,291.89,288.33,207.17,,234.32,251.51,242.94,244.40,218.15,190.33,202.97,,,,,,,428.60,418.92,369.23,358.22,344.39,359.95,366.89,367.88,370.45,437.62,252.93,502.85,315.97,307.51,324.16,316.80,220.93,254.23,365.20,187.35,232.43,350.23,,437.79,459.85,461.78,469.73,,,,,,,,,,142.40,251.42,224.53,344.89,332.70,311.19,360.94,320.89,263.97,251.50,,,372.59,406.79,396.40,386.45,267.17,342.58,452.62,456.13,394.63,367.30,323.85,355.10,357.09,212.17,213.28,308.22,384.53,441.80,478.13,428.91,312.94,,,,,,,,
2001-05-20 21:57:04.892000,L7,,,,,,,,506.64,449.58,372.42,347.90,401.78,390.51,390.57,377.87,390.70,383.74,382.38,411.23,295.86,333.30,364.51,369.70,357.43,353.99,364.17,382.18,339.16,347.41,393.63,379.16,342.15,322.81,314.85,298.43,302.24,147.09,174.84,229.42,286.16,364.71,346.33,344.24,317.49,202.09,277.10,323.56,,,,,,277.05,290.69,235.66,249.41,268.15,175.88,175.90,220.85,218.66,145.94,171.50,173.94,155.61,160.76,174.18,,,,,,,,,,371.04,243.36,169.83,269.68,199.38,465.28,443.25,,280.05,249.81,262.42,292.85,293.04,302.48,,,,,290.84,363.69,,,,,,,,,,,,,,,,521.65,352.92,283.66,391.01,340.70,446.83,447.42,,,,,,439.44,473.09,485.71,386.57,364.75,369.54,493.98,506.30,467.71,466.16,417.87,383.26,415.83,461.65,470.14,468.93,468.07,494.08,471.74,470.38,462.97,432.86,,,,,,,,
2001-06-05 21:56:52.440000,L7,,,,,,,498.54,456.24,428.66,367.79,344.42,,385.00,347.35,367.89,386.77,366.57,393.39,421.80,404.27,368.33,368.60,380.13,357.19,349.40,355.49,379.82,145.84,161.23,301.68,355.08,317.51,316.70,308.61,293.13,291.34,272.17,301.06,311.16,364.09,345.33,324.26,307.90,263.61,,,305.46,,,,,,257.94,275.23,290.16,281.14,258.76,408.45,225.68,208.88,277.30,267.80,233.42,254.56,151.12,,,,,,,,,,,,295.94,241.78,266.91,460.46,475.88,450.03,443.67,268.73,211.22,268.78,264.90,265.77,311.62,289.19,,,,,309.28,349.00,,,,,,,,,,,,,,326.09,410.13,485.60,341.61,343.03,395.65,436.22,432.59,441.19,482.60,,,,,503.64,464.75,487.36,497.69,352.46,363.07,308.11,497.78,469.34,,365.80,343.57,388.69,440.28,462.52,456.27,430.53,164.40,227.13,169.57,319.98,437.68,,,,,,,,
2001-08-08 21:56:12.984000,L7,,,,,,,526.41,482.76,426.30,372.62,328.39,438.01,426.16,419.44,404.29,396.21,387.15,402.26,427.22,415.69,405.69,400.00,379.03,357.95,352.49,370.13,376.69,354.63,356.75,392.38,384.48,349.21,333.51,316.81,305.30,302.78,294.76,302.55,326.59,361.23,370.57,353.15,355.99,354.94,336.82,,312.05,284.63,277.96,318.38,309.65,290.81,274.05,283.93,288.13,242.10,249.62,228.52,218.20,220.73,211.84,201.11,194.50,191.21,177.42,171.41,169.90,152.39,,,,,,,,,281.68,211.67,154.76,,,,,,,,236.01,242.28,228.98,,,,,,285.32,331.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.43,473.80,440.14,408.86,457.83,477.88,491.25,490.34,486.85,493.19,491.80,476.52,464.95,444.42,,,,,,,,
2001-08-24 21:56:00.447000,L7,,,,,,,531.72,483.58,433.78,373.88,330.28,441.46,441.57,414.77,422.66,407.60,393.17,397.72,414.22,424.83,409.04,398.77,373.74,357.33,344.95,362.22,374.42,351.82,342.31,389.54,387.56,347.83,324.00,309.55,305.06,301.47,292.34,288.36,323.78,355.93,372.72,355.67,350.72,348.92,208.03,336.34,310.31,311.80,411.20,362.87,285.17,282.62,359.42,346.04,267.06,260.75,253.36,199.20,208.59,213.15,202.93,192.86,200.62,182.84,171.79,159.33,156.89,149.68,221.25,204.72,193.72,179.84,,,,,280.52,216.44,163.41,,,,,,,,,,,,,,,,288.96,346.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.54,502.11,437.58,403.83,379.32,421.17,466.07,489.61,178.64,284.75,379.55,505.11,501.69,474.25,439.64,,,,,,,,
