dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,nzd0557-0042,nzd0557-0043,nzd0557-0044
2013-10-02 22:22:40.460000,L8,322.18,307.70,294.17,286.76,282.59,275.82,270.93,266.17,262.46,259.54,253.25,251.89,251.04,252.20,251.77,256.14,264.27,260.02,247.88,239.27,227.32,217.40,218.33,224.23,227.25,230.58,240.83,250.82,248.70,227.31,210.98,202.19,198.97,198.05,195.73,196.47,174.65,148.14,,,143.77,154.51,173.19,188.05,204.18,194.40,211.63,165.32,165.96,165.68
2013-10-18 22:22:37.411000,L8,322.54,306.48,296.02,290.18,283.50,277.85,272.62,265.92,264.08,259.64,252.78,250.94,250.42,252.65,253.62,257.75,264.69,259.44,245.57,238.94,228.89,221.80,221.82,225.28,228.24,231.33,239.65,251.29,248.94,228.41,211.74,205.38,201.10,200.70,201.80,206.45,182.64,150.98,,,146.52,157.11,173.70,190.09,209.31,205.14,221.93,168.54,174.72,168.00
2014-02-23 22:21:32.043000,L8,358.36,358.48,345.20,332.22,322.59,323.14,318.41,310.40,300.56,293.73,295.03,291.33,289.88,287.35,276.50,294.95,303.77,299.32,281.45,273.05,265.40,257.75,266.72,269.54,268.92,478.14,429.10,490.17,481.70,267.44,252.19,244.07,241.63,239.63,234.15,234.45,214.86,197.25,,162.47,182.03,190.96,206.59,223.53,230.25,213.97,216.28,194.24,199.02,203.49
2014-03-11 22:21:19.920000,L8,319.17,306.69,293.42,287.01,283.69,277.34,271.04,264.12,264.74,259.03,253.54,251.71,253.30,255.02,253.37,258.38,265.75,261.03,250.93,242.46,231.52,224.87,223.58,229.07,230.03,232.66,241.58,252.61,251.22,237.36,218.79,209.11,201.70,204.20,209.00,216.06,172.90,150.77,,,146.92,153.96,177.34,190.38,206.96,196.78,210.57,166.03,170.65,168.98
2014-07-17 22:20:39.943000,L8,323.96,314.31,299.61,293.42,282.65,282.01,274.09,269.33,264.55,261.35,254.28,254.21,252.00,259.96,260.49,260.22,267.19,264.82,252.62,244.04,236.22,232.04,232.77,232.52,234.60,233.88,245.03,256.51,253.62,234.41,219.22,208.26,203.06,200.77,196.06,211.11,175.60,150.18,,,155.12,168.58,206.01,226.35,233.81,217.14,232.60,187.63,187.24,194.34
2014-07-17 22:21:03.910000,L8,326.28,317.40,301.75,296.15,288.17,285.39,277.59,271.44,265.82,262.84,257.58,255.96,253.74,261.44,262.54,262.59,270.16,268.03,255.39,245.92,238.05,233.69,234.97,234.43,236.33,235.58,246.35,258.15,254.60,235.24,220.15,209.62,203.82,201.52,196.90,208.87,175.84,149.84,,,152.29,158.76,203.56,222.63,231.04,212.71,230.76,184.53,184.77,192.98
2014-08-02 22:20:46.799000,L8,,,,,,227.55,226.99,201.07,196.14,195.52,186.64,210.80,192.14,222.99,239.43,243.60,240.51,229.04,177.75,177.26,193.51,175.85,177.40,197.96,207.94,212.69,215.69,221.97,220.41,187.82,,,,,,,,,,,,,168.68,182.26,,,,140.67,150.25,151.25
2014-08-02 22:21:10.767000,L8,,,,,,220.05,223.04,192.08,,186.83,178.61,206.32,187.93,216.09,231.56,239.74,217.25,222.24,174.46,167.52,189.20,161.47,141.97,188.82,201.24,210.10,208.43,216.51,213.25,,,,,,,,,,,,,,,,,,,,,
2014-08-18 22:20:51.886000,L8,231.53,249.39,262.55,263.25,258.75,256.63,243.34,247.28,238.86,231.73,194.83,223.24,191.00,194.93,194.90,210.15,217.49,228.04,219.60,214.64,193.26,152.37,159.92,193.41,187.53,196.98,190.13,217.63,218.78,192.03,,,,,,,,,,,,,,,,,,,,
2014-08-18 22:21:15.849000,L8,325.54,310.53,298.97,294.96,293.28,288.76,279.48,273.40,291.06,289.94,289.60,257.52,255.54,260.36,293.38,295.70,278.79,283.75,268.08,269.75,261.72,257.87,246.90,259.85,264.91,250.86,278.40,287.73,278.25,261.28,245.88,239.35,228.98,227.92,223.60,228.16,199.52,174.93,148.53,164.47,167.94,177.21,200.04,213.29,217.03,203.23,220.31,181.70,183.95,191.36
2014-09-03 22:20:54.579000,L8,368.55,422.87,434.71,410.41,421.55,489.15,503.38,501.20,458.96,457.41,440.99,443.87,405.36,402.09,377.45,314.84,311.52,332.53,295.06,284.47,269.87,299.81,253.85,267.46,279.57,285.76,295.40,302.43,340.30,409.90,423.12,419.97,376.30,417.47,405.69,237.67,216.52,204.76,178.60,192.14,199.53,202.63,213.74,224.23,240.02,217.38,226.15,200.10,199.97,200.59
2014-09-19 22:20:54.477000,L8,329.68,321.69,333.94,329.22,317.43,307.77,318.03,309.68,303.34,294.96,290.89,297.05,292.47,296.77,288.76,289.83,287.49,292.23,262.88,266.56,254.03,251.93,257.14,249.39,268.15,269.57,272.69,282.04,281.49,272.40,254.35,238.06,230.81,221.37,225.29,222.51,201.32,185.90,151.37,173.86,175.94,339.44,311.10,215.79,220.99,204.40,216.42,338.04,335.71,335.53
2014-09-19 22:21:18.444000,L8,332.59,354.77,345.02,333.08,323.28,313.84,320.60,313.11,308.35,304.69,296.19,300.92,297.36,300.41,292.51,295.76,300.59,299.98,283.94,270.95,258.17,257.62,269.37,261.04,261.03,272.29,278.01,286.54,285.94,276.13,257.55,243.04,234.43,225.23,231.63,226.17,207.30,190.71,174.84,179.40,182.07,190.15,205.43,218.68,223.49,206.72,217.23,191.56,191.90,197.24
2014-11-06 22:21:01.126000,L8,316.66,303.43,290.79,284.66,280.94,275.22,268.06,261.51,258.39,256.52,250.62,247.94,250.30,250.83,250.35,255.09,262.95,258.40,245.86,238.26,226.63,216.32,219.38,225.80,228.53,230.87,239.86,250.26,248.33,228.27,213.49,200.04,198.41,194.47,195.04,196.51,172.43,147.12,,,139.20,150.63,181.84,194.66,209.53,198.22,220.52,161.91,171.03,170.36
