dates,satname,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0007,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0023,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028
2005-03-11 21:58:44.158000,L5,349.47,305.94,331.51,295.26,282.14,265.38,263.94,281.79,290.71,269.23,280.08,309.16,306.76,300.28,316.11,316.02,311.53,314.45,308.76,307.83,310.66,319.00,318.96,307.93,311.04,315.56,307.91,311.99,316.61
2005-04-12 21:58:55.193000,L5,352.95,324.57,341.12,309.09,292.19,275.73,272.45,294.72,308.99,267.38,287.79,310.36,310.85,306.55,318.17,314.11,317.04,319.06,311.11,315.41,319.73,325.03,292.02,252.58,310.68,309.55,291.21,302.48,303.22
2005-07-17 21:59:35.576000,L5,451.71,488.05,458.09,408.78,391.22,381.61,378.80,388.82,407.08,400.77,403.95,409.26,402.15,412.24,,,488.27,511.13,425.14,458.57,380.48,379.03,373.41,376.73,372.24,371.32,370.48,367.53,382.08
2005-09-19 21:59:56.928000,L5,359.11,304.00,334.50,304.40,295.48,276.93,169.77,,,,,310.10,304.44,303.36,321.31,320.28,310.40,310.63,305.88,308.15,309.86,317.02,318.99,303.32,312.83,309.47,299.66,316.40,316.77
2005-11-22 22:00:23.113000,L5,358.04,306.88,329.71,289.44,278.28,262.49,272.89,294.67,301.76,278.89,285.50,321.34,319.37,300.69,308.39,309.99,309.52,310.63,307.20,306.89,306.03,330.24,325.36,317.42,319.87,321.32,309.66,319.36,325.77
2006-05-17 22:03:57.969000,L5,345.31,291.80,331.99,298.67,282.73,270.26,269.52,282.81,287.03,269.85,279.88,315.64,310.91,304.45,312.78,320.28,317.39,317.56,312.89,311.77,313.92,324.03,323.22,303.47,309.66,319.39,306.77,311.99,316.26
2006-07-04 22:04:41.660000,L5,404.37,390.89,388.95,359.47,352.93,353.43,361.82,370.44,377.20,365.80,361.14,371.71,366.70,361.06,359.08,355.62,351.20,352.32,350.97,349.77,343.99,355.51,355.21,350.62,340.95,343.50,334.34,336.89,348.32
2006-08-21 22:05:19.629000,L5,226.69,253.74,305.12,270.48,268.58,254.97,253.33,263.19,273.25,246.02,250.81,273.77,239.78,192.66,,,264.76,275.46,278.85,287.59,290.82,200.83,300.38,210.66,278.89,242.35,249.34,285.98,303.54
2006-11-25 22:06:19.953000,L5,312.59,325.77,321.03,295.10,291.42,305.82,311.84,315.32,321.84,324.84,327.59,328.36,323.03,320.09,314.51,317.71,311.98,305.76,304.27,298.37,302.29,313.64,314.00,313.79,308.35,306.65,310.95,315.92,333.56
2006-12-11 22:06:28.205000,L5,,,,,,,,,,,,,179.63,193.79,207.19,203.88,208.65,196.08,198.96,193.62,,,,,,,,,
2007-02-13 22:06:47.368000,L5,377.95,308.21,313.63,257.11,240.11,231.09,229.35,256.61,295.32,277.88,292.94,324.30,324.10,311.43,287.86,324.35,322.51,310.99,307.34,310.79,313.42,322.62,322.48,311.46,313.94,324.03,315.87,309.76,
2009-01-01 21:56:31.615000,L5,378.58,384.67,382.93,372.24,357.85,359.25,359.14,365.08,364.24,368.26,367.26,369.34,371.43,366.14,368.59,363.37,362.71,367.87,363.82,362.45,356.83,362.70,357.17,357.10,349.74,341.94,338.37,344.11,352.73
2009-02-02 21:57:22.411000,L5,284.35,283.66,321.69,288.75,272.06,255.41,254.37,269.53,282.38,261.74,272.82,302.39,286.56,289.58,296.60,306.57,297.20,296.87,290.03,296.93,299.38,253.75,245.43,211.72,298.79,298.01,290.62,193.93,289.48
2011-01-07 22:01:44.406000,L5,380.63,392.05,398.37,373.80,358.37,357.78,367.02,362.60,366.23,367.87,373.30,378.53,377.93,377.87,374.54,371.36,365.11,365.10,359.07,358.08,355.41,359.63,354.21,354.38,350.51,345.39,345.93,358.04,355.67
2011-03-12 22:01:43.554000,L5,401.16,411.60,410.50,378.40,362.04,365.01,367.40,368.89,371.03,370.48,374.16,378.16,376.91,379.56,383.14,382.63,380.48,372.59,364.96,364.23,362.65,365.42,362.51,361.03,352.45,348.81,352.48,359.43,362.50
