dates,satname,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
2004-07-23 21:48:33.165000,L5,,,,,313.99,263.78,214.95,,,,227.86,225.42,245.29,259.18,243.15,,269.39,271.61,261.44,262.56,261.64,255.19,253.83,239.49,237.51,255.32,286.20,187.70,289.16,278.58,264.59,292.14,299.03,264.17,261.86,293.00,240.53,273.80,276.55,,,
2004-08-08 21:48:50.888000,L5,,,,,,,,,,,,,263.89,275.50,280.98,,,,,,200.67,254.52,268.08,257.76,249.50,272.41,307.57,320.81,308.51,297.89,297.80,255.00,157.93,,,,,,,,,
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,,,,,,,,,,244.25,243.85,244.20,228.45,225.40,243.33,247.21,200.45,284.65,284.20,283.41,296.40,301.57,268.99,256.60,275.86,,,,,,
2004-10-20 21:44:28.706000,L5,351.84,303.64,321.88,314.17,352.44,319.84,296.71,294.50,282.00,269.74,258.96,261.34,275.98,288.37,304.88,297.39,293.76,291.88,286.21,286.72,287.56,278.02,284.95,279.24,270.19,293.49,327.05,339.39,326.77,318.80,321.18,320.48,326.07,335.89,358.99,345.78,334.60,329.77,325.64,321.02,309.27,308.11
2004-10-27 21:50:47.740000,L5,350.25,298.93,248.13,292.20,334.03,301.80,276.76,275.44,261.44,254.28,259.53,268.82,278.26,287.25,307.31,290.27,281.68,278.54,278.73,277.41,276.12,272.66,269.46,264.97,252.15,274.88,311.99,338.60,329.03,317.78,318.46,320.87,327.54,323.53,341.29,331.76,319.72,311.32,311.67,310.30,311.82,308.22
2004-12-07 21:45:24.093000,L5,348.99,318.16,331.42,338.84,355.19,323.95,294.88,284.91,270.14,265.26,257.93,258.85,275.55,290.26,308.83,304.17,297.24,294.77,297.97,326.17,313.71,308.18,276.46,253.27,,161.28,,,,,,,,,163.19,217.78,325.57,306.98,298.16,299.46,302.83,311.70
2005-01-15 21:52:09.437000,L5,344.62,289.64,336.88,337.61,366.49,333.00,308.94,305.25,271.45,249.88,254.56,254.70,271.20,279.48,315.61,306.92,304.42,302.35,294.37,295.30,294.16,286.27,291.95,290.40,275.54,296.21,315.19,323.56,320.06,308.40,305.17,311.04,339.69,354.01,367.98,357.78,341.56,340.05,316.26,305.59,302.93,301.33
2005-01-24 21:46:06.161000,L5,,,,,314.40,218.07,218.51,255.61,199.16,,214.02,227.40,246.73,,,,221.08,265.40,251.71,262.63,258.36,253.97,257.94,147.41,233.52,142.82,273.74,296.85,280.15,275.22,269.65,278.86,286.42,260.10,314.77,301.19,286.34,295.33,282.50,,,
2005-02-09 21:46:19.482000,L5,,,225.01,265.44,346.11,236.14,206.26,155.97,,,,,,,,288.62,285.81,289.48,283.45,285.73,281.13,277.27,278.31,259.76,243.80,259.57,283.54,297.73,296.96,300.00,288.51,307.04,327.56,333.97,353.48,331.22,322.55,285.87,296.40,287.25,284.28,287.34
2005-02-25 21:46:35.721000,L5,285.85,251.97,211.85,226.78,299.70,265.10,227.45,249.77,231.53,177.16,220.98,229.66,254.32,,,,226.76,266.88,255.73,261.30,256.71,255.72,256.64,242.09,234.32,252.29,289.20,306.70,294.84,284.96,277.98,290.09,294.00,270.56,276.42,305.29,231.15,284.40,288.04,183.77,154.87,
2005-03-04 21:52:52.217000,L5,301.09,259.86,216.11,228.25,308.25,280.66,236.57,261.17,249.00,171.45,220.87,235.34,256.41,,,,223.80,271.34,257.97,267.82,262.04,258.12,263.08,243.45,240.80,263.34,302.26,313.29,294.45,285.77,275.28,289.97,301.29,260.29,329.46,313.52,304.84,297.91,296.88,273.03,277.62,286.65
2005-03-13 21:46:47.612000,L5,342.44,286.43,245.70,274.69,326.40,302.41,274.35,268.94,260.35,247.84,246.82,253.26,268.86,273.99,295.14,287.71,283.18,290.90,287.20,290.52,285.26,279.08,277.01,272.44,255.83,276.97,306.40,321.81,314.09,313.21,303.38,306.82,321.12,325.94,344.77,332.67,321.34,326.27,338.25,316.13,337.17,315.01
2005-03-29 21:46:54.602000,L5,311.51,262.64,228.19,241.75,327.75,286.76,254.84,263.94,249.08,215.81,233.43,244.55,256.02,,,,224.08,280.69,266.27,274.17,268.84,266.58,270.93,255.91,247.59,267.11,296.71,314.42,301.33,289.86,285.82,292.89,310.08,271.40,340.54,320.33,311.89,299.70,288.17,,,
2005-04-21 21:53:10.893000,L5,358.38,314.63,334.12,331.05,350.51,320.47,307.76,302.43,287.09,278.55,271.14,273.25,277.52,292.48,309.88,295.57,298.22,292.23,288.13,290.41,286.50,286.95,284.85,288.21,270.78,293.71,332.98,345.33,332.23,320.47,321.51,322.50,324.42,342.98,354.12,347.93,330.47,328.17,328.18,327.76,316.25,318.87
