dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0018,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0033
2015-08-21 22:19:45.276000,L8,,,,231.69,240.66,234.43,218.72,224.59,223.32,198.32,213.10,223.85,205.02,200.10,196.10,183.34,176.30,,,,,,,,,,,,,,,288.05,,,,,
2015-09-06 22:19:50.737000,L8,,,,,,,,,,,186.36,208.75,198.59,196.96,189.67,180.63,171.86,,,,,,,,,,,,,,,298.82,,,,,
2015-09-13 22:26:05.653000,L8,297.21,321.50,234.14,235.43,245.95,239.96,226.30,234.33,180.51,227.78,234.34,237.34,211.35,220.69,200.54,188.33,179.90,,,,,,,,,,,,,,158.87,304.14,,,,,
2015-10-08 22:20:00.596000,L8,,,,,,,,,,195.21,209.54,219.94,203.08,197.96,194.06,182.25,173.11,,,,,,,,,,,,,,,,,,,,
2015-12-27 22:20:07.153000,L8,422.97,428.83,435.08,448.73,425.85,433.48,353.24,359.06,356.80,364.51,368.13,363.48,364.13,361.43,397.26,365.36,393.14,365.58,376.56,381.64,381.56,382.45,296.67,291.03,290.50,266.39,300.53,294.07,317.86,263.99,270.03,384.84,375.02,311.59,316.77,321.79,264.07
2016-01-03 22:26:15.584000,L8,220.94,228.76,235.75,243.39,253.25,253.30,237.75,248.68,240.80,249.60,259.43,228.70,219.63,245.08,250.49,193.28,193.90,,,,,,,,,,,,,,159.96,313.88,,,,,
2016-02-13 22:19:56.477000,L8,220.51,175.19,237.37,244.91,255.27,254.91,240.99,248.77,241.96,252.09,259.76,231.80,220.94,242.20,347.73,360.29,359.55,364.02,369.80,366.11,367.74,,,,,417.20,,,,,161.76,319.54,366.23,,397.25,413.78,
2016-02-20 22:26:03.799000,L8,226.30,299.70,304.69,308.49,320.13,322.43,279.24,316.66,313.94,326.25,324.10,321.08,326.48,334.18,340.61,333.21,332.94,333.00,341.81,349.35,347.32,345.37,352.18,351.10,360.59,,,,346.12,357.86,361.32,360.06,340.07,,,,355.07
2016-02-29 22:19:53.146000,L8,307.48,303.56,282.62,344.25,309.16,342.83,336.35,338.09,332.50,325.02,306.84,246.20,219.42,244.39,240.15,195.90,194.42,348.62,358.61,353.91,337.80,,,,,,,394.94,375.55,,158.47,318.54,340.91,,,,371.42
2016-03-07 22:26:02.901000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.69,,,,,
2016-03-16 22:19:48.512000,L8,227.99,230.65,239.49,243.94,257.74,257.78,248.47,250.21,250.03,253.39,260.48,249.57,221.25,243.48,226.92,203.68,191.70,345.13,361.57,,,,,,,,,,,,156.44,321.15,352.58,,,,
2016-04-17 22:19:33.425000,L8,303.05,296.38,307.95,321.19,341.33,333.04,329.55,250.01,254.47,258.15,262.03,325.30,322.58,330.67,330.82,195.83,189.38,316.13,,,,,,,,383.35,393.41,390.25,373.87,359.38,362.01,378.26,,,379.84,385.11,353.98
2016-04-24 22:25:40.542000,L8,300.30,234.28,243.87,255.57,262.52,263.68,252.95,254.56,252.81,253.47,260.89,253.05,219.60,240.52,205.73,196.80,189.51,346.07,339.04,341.32,352.52,,,,,375.60,380.84,388.25,380.54,372.31,363.78,378.28,336.72,,338.99,375.08,390.69
2016-09-08 22:20:12.615000,L8,228.15,231.71,238.66,245.64,256.57,254.40,234.04,244.72,247.31,246.42,259.61,238.71,220.68,234.65,202.82,197.21,356.79,359.90,351.98,366.85,365.73,373.52,380.61,371.49,368.86,,,336.37,353.88,347.92,349.05,362.67,367.03,373.01,374.78,360.22,327.86
2016-11-18 22:26:30.748000,L8,232.16,232.57,242.91,249.41,257.62,258.78,233.49,249.95,233.17,233.08,355.02,359.89,358.07,368.47,238.34,206.69,191.92,,,,,355.46,343.05,365.32,387.91,,,,,,162.68,328.83,,404.79,,,
2017-02-15 22:19:55.596000,L8,227.21,303.99,317.81,337.92,343.34,343.47,342.92,354.76,353.08,347.47,252.12,231.97,219.22,235.45,239.84,198.87,192.33,,365.72,361.68,372.82,,,,,344.22,340.21,344.67,,,158.92,327.85,365.83,,343.22,354.34,
2017-04-20 22:19:23.200000,L8,304.53,270.60,308.08,323.11,329.47,345.55,344.35,302.98,328.90,299.34,325.34,338.84,337.17,340.30,342.85,357.28,362.25,356.16,353.05,,,,388.44,385.27,375.01,346.98,335.94,339.99,353.84,,,381.36,358.16,370.62,372.93,355.43,
2017-05-06 22:19:19.163000,L8,,,,,,,,,,175.45,222.03,215.90,203.91,213.19,195.22,184.65,177.49,,,,,,,,,,,,,,,249.75,,,,,
2017-05-13 22:25:35.346000,L8,315.95,311.48,320.28,327.25,265.40,325.87,330.20,339.51,340.28,337.75,338.41,334.18,220.45,233.98,233.81,228.07,191.97,351.49,,,380.29,371.25,320.82,340.49,359.86,356.09,336.75,341.26,341.38,,,363.38,353.79,357.10,358.91,352.03,349.31
2017-06-07 22:19:38.989000,L8,303.84,297.76,268.74,324.11,326.67,328.19,326.32,316.26,295.65,332.39,301.27,335.18,351.70,363.33,334.97,341.37,368.35,323.59,,,364.56,367.04,371.19,351.50,356.60,352.20,363.71,336.56,346.03,341.58,349.08,351.64,346.79,350.62,359.28,352.94,339.15
2017-07-09 22:19:47.659000,L8,,,241.12,251.62,262.60,257.75,233.53,241.32,230.30,226.26,251.77,249.40,217.12,222.37,225.51,197.66,190.01,,,,,,,,,,,,,,,,,,,,
