dates,satname,nzd0360-0000,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0004,nzd0360-0005,nzd0360-0006,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0010,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0043,nzd0360-0044,nzd0360-0045,nzd0360-0046,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0017,nzd0360-0018,nzd0360-0019,nzd0360-0060,nzd0360-0061,nzd0360-0062,nzd0360-0063,nzd0360-0064,nzd0360-0065,nzd0360-0066,nzd0360-0067,nzd0360-0068,nzd0360-0069,nzd0360-0070,nzd0360-0071,nzd0360-0072,nzd0360-0073,nzd0360-0074
2001-07-07 21:56:36.067000,L7,431.55,417.81,,443.54,384.85,390.86,237.34,357.08,367.66,394.78,268.91,511.78,491.46,448.61,482.58,492.34,483.65,190.82,414.57,401.38,402.13,460.45,451.07,420.71,412.75,429.08,411.18,413.24,404.97,400.47,390.17,389.08,371.69,344.72,355.58,348.18,319.06,321.24,329.60,319.86,297.22,308.15,310.25,283.62,279.07,271.37,263.32,251.71,245.07,182.46,,154.02,167.69,,,,,479.38,484.56,284.78,,,,,,,,,,,,,,,
2001-08-08 21:56:12.984000,L7,430.23,425.34,,341.84,382.53,383.75,246.32,274.49,356.63,386.25,300.81,473.45,493.64,479.45,466.76,474.38,462.37,464.42,357.20,404.74,444.32,429.62,428.41,410.98,400.62,392.27,388.31,380.12,376.06,373.22,374.90,373.77,354.02,343.77,336.67,214.02,236.93,250.08,256.49,244.01,303.28,308.02,309.63,277.27,272.78,258.79,259.68,238.07,236.05,192.63,175.80,160.65,177.47,221.51,162.31,149.72,,420.48,471.71,472.88,,,,,,,,,,,,,,,
2001-08-24 21:56:00.447000,L7,231.50,509.63,514.15,502.55,494.90,386.10,480.66,469.35,328.59,,453.62,443.66,,192.54,201.88,187.78,,325.25,357.53,324.69,417.92,446.20,401.62,398.63,386.21,390.04,377.98,369.86,367.67,366.68,362.18,358.90,350.14,320.29,326.22,330.87,324.16,323.55,317.34,303.93,278.92,299.88,301.50,268.50,260.23,243.69,248.09,214.56,218.50,,,122.01,125.48,,,,,221.36,287.62,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,,,496.10,505.94,488.19,478.85,475.86,480.47,460.82,454.17,440.47,450.48,454.92,450.00,451.69,437.94,420.65,424.76,413.38,422.52,414.90,409.15,390.02,380.82,375.79,374.71,365.30,370.01,390.06,414.30,434.35,433.80,372.48,365.69,337.04,333.42,314.01,306.16,294.89,286.30,,,,275.26,282.48,319.52,277.10,266.81,253.75,236.92,237.44,234.99,216.12,213.33,190.59,194.37,191.89,195.48
2001-10-11 21:55:21.747000,L7,293.17,370.60,226.16,268.06,486.43,178.34,193.44,209.29,329.48,,,,,,,,,330.47,366.14,348.59,379.35,404.37,400.13,403.72,393.63,383.43,377.93,374.35,370.38,368.53,370.77,370.05,352.88,336.89,332.06,339.94,333.47,334.96,321.85,308.00,284.43,302.44,301.16,269.29,259.97,240.15,258.88,215.03,211.77,151.03,145.30,128.08,138.33,200.19,154.33,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,425.36,,,532.91,520.22,187.51,208.45,236.80,282.44,496.05,501.16,502.30,491.77,491.64,493.85,485.05,470.09,413.38,402.52,401.85,391.88,430.51,424.35,415.65,409.73,401.87,396.42,390.53,385.51,378.48,383.36,380.10,366.26,390.00,371.48,351.05,373.47,351.50,350.89,337.75,312.72,314.29,321.48,292.24,291.77,271.18,272.55,259.86,258.46,257.24,255.27,254.02,277.06,253.90,237.93,231.97,225.49,466.28,419.83,413.79,174.06,180.07,179.92,171.58,176.77,163.37,,,,,,,,,
2002-01-15 21:55:59.365000,L7,318.94,372.70,239.93,290.54,248.14,463.40,466.70,464.85,452.60,,456.56,457.13,420.52,279.63,344.56,397.30,,,350.40,343.67,362.04,374.86,388.61,397.08,390.33,383.52,372.64,366.01,358.96,355.32,357.33,359.05,347.58,319.93,321.29,334.20,193.81,198.95,230.44,215.53,177.53,284.15,278.74,257.56,249.36,230.73,,,,,,,,,,,,415.38,308.00,238.16,,,,,,,,,,,,,,,
2002-02-16 21:56:06.046000,L7,503.14,517.84,505.79,157.61,211.14,214.08,230.57,526.65,475.92,533.70,527.45,288.55,278.66,268.24,288.10,292.29,350.57,286.03,426.59,422.41,477.68,468.11,419.93,411.10,397.10,392.84,384.66,377.13,366.19,374.87,373.41,356.94,351.20,345.56,340.48,340.74,336.13,341.02,334.68,315.57,296.19,338.00,323.92,283.61,279.72,257.36,269.70,254.90,265.99,252.79,255.66,260.84,263.37,255.26,243.19,224.29,172.81,488.88,497.84,393.97,,204.69,219.20,250.14,308.47,233.71,180.68,195.73,174.87,163.28,168.24,,,,
2002-03-04 21:56:09.860000,L7,342.28,,,526.23,516.68,519.95,192.04,231.06,306.26,268.21,497.03,501.01,493.33,503.76,496.55,498.09,472.19,463.10,457.53,456.55,443.56,427.34,425.26,421.26,413.98,405.99,402.91,397.98,389.59,390.63,385.11,382.30,374.36,376.53,358.41,372.22,355.89,352.16,348.48,326.88,321.18,322.09,306.71,287.59,281.82,276.56,271.79,253.25,252.17,258.04,242.86,237.48,253.34,241.72,233.04,224.49,210.99,461.35,464.32,466.43,174.84,181.42,179.62,176.70,178.57,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,317.94,368.76,225.60,377.04,500.05,482.31,472.61,485.61,471.43,443.69,477.97,465.74,445.38,408.33,372.16,457.70,,463.75,355.66,222.92,234.38,344.60,366.31,354.08,343.95,316.67,386.41,371.47,369.35,200.68,243.09,222.06,215.81,187.66,189.89,221.78,248.99,250.67,262.39,252.33,235.80,219.76,309.05,285.95,275.08,254.53,262.97,224.13,241.53,199.41,71.97,168.24,189.74,162.39,154.33,,,227.75,477.87,470.60,,,,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,504.15,512.62,508.32,348.56,488.27,490.16,467.66,467.73,450.56,,460.84,453.80,447.55,359.49,420.60,421.86,,482.76,480.02,481.39,470.59,442.40,367.91,356.10,348.99,321.39,368.59,375.00,363.02,354.51,362.01,354.36,353.46,318.32,329.33,339.98,337.03,333.54,321.42,308.40,293.70,292.42,295.29,272.90,259.99,245.36,247.62,224.50,223.26,227.40,199.01,192.33,216.42,201.09,151.20,,,482.83,482.92,490.28,,,,,,,,,,,,,,,
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,,513.47,523.74,522.23,518.19,500.29,507.08,496.27,481.21,503.68,532.59,487.20,486.57,478.46,459.23,450.75,451.37,438.61,424.49,412.27,438.48,414.29,415.29,399.09,440.08,407.55,418.86,397.99,390.43,355.87,364.82,346.15,346.62,336.81,317.63,317.23,312.55,327.13,302.04,304.89,301.28,297.49,306.86,289.17,283.33,292.83,278.33,496.10,499.12,503.50,249.34,239.17,214.65,221.22,215.40,212.41,202.20,205.76,208.66,211.07,195.73,193.53,178.71,191.37,189.25
2002-10-14 21:54:55.882000,L7,415.12,,,157.97,205.69,208.16,530.25,514.45,523.98,528.31,524.80,515.49,496.47,264.83,284.05,299.10,356.81,331.53,404.17,468.83,460.37,441.29,433.71,425.68,417.20,411.02,428.38,420.19,388.31,382.64,389.54,390.81,375.92,377.20,377.62,369.69,369.88,352.10,360.46,324.25,307.44,309.40,306.09,285.10,274.66,275.75,272.15,258.05,253.87,260.07,257.47,259.73,303.75,247.69,236.20,235.12,223.53,493.25,396.24,410.63,180.56,184.74,174.32,177.36,169.15,,,,,,,,,,
2002-10-30 21:55:01.471000,L7,427.18,,,,218.66,210.62,507.82,509.24,503.58,501.22,506.36,491.76,487.09,489.09,480.13,476.21,474.79,467.08,465.10,460.70,458.00,442.99,433.98,418.21,418.08,403.96,404.38,398.44,387.19,383.83,387.24,382.08,365.10,364.35,354.10,353.18,359.37,342.88,335.40,325.05,304.01,306.93,313.61,278.70,277.30,264.47,262.02,244.73,244.64,237.86,227.85,217.73,247.08,231.42,221.97,226.27,216.06,474.59,469.03,474.52,179.82,163.95,,,,,,,,,,,,,
2003-01-02 21:55:34.113000,L7,425.09,,,,218.29,199.50,216.29,256.40,278.65,507.48,488.78,487.77,484.81,479.51,484.41,473.52,473.82,411.30,403.40,315.96,394.93,446.80,431.13,421.64,448.70,418.31,412.08,412.82,397.89,360.62,363.65,393.46,375.84,404.95,399.39,386.14,389.61,377.76,332.33,317.55,310.84,303.22,304.57,303.22,292.07,307.49,287.29,282.66,284.80,278.75,239.28,234.76,257.70,249.77,233.87,231.39,229.00,469.35,418.40,416.84,210.50,196.69,179.39,198.52,195.97,171.04,183.04,188.22,189.88,195.18,185.77,,,,
2003-01-18 21:55:42.118000,L7,,,,,,,,,,,448.26,406.39,320.73,332.22,298.18,388.74,453.44,203.42,440.59,441.53,441.60,437.70,423.94,414.68,396.92,390.83,388.92,380.95,374.82,378.96,409.42,402.26,391.59,381.45,383.13,378.53,380.78,365.28,344.63,330.41,329.72,315.67,316.59,287.87,293.18,299.56,280.00,270.13,272.99,280.84,253.20,254.68,273.69,255.88,264.12,243.43,229.16,,417.71,443.70,209.67,213.32,191.68,192.52,197.20,184.62,181.43,192.53,184.39,191.62,169.91,,,,
2003-02-19 21:55:54.479000,L7,430.17,403.22,373.78,,531.75,167.29,193.11,221.95,265.29,347.26,316.83,498.90,495.16,488.41,494.04,488.16,477.65,471.25,465.03,461.03,453.09,441.32,434.64,425.60,423.90,417.12,412.43,400.95,390.57,403.07,394.87,390.97,378.04,371.36,369.65,369.33,365.81,366.79,365.74,348.47,325.23,326.75,330.50,319.45,301.07,288.20,290.37,273.40,266.34,268.97,257.57,253.09,275.96,258.41,250.09,241.94,231.37,482.11,477.74,480.37,213.82,200.15,191.05,192.59,186.33,174.43,173.55,171.73,183.37,173.98,162.08,,,,
2003-03-07 21:55:58.558000,L7,435.57,429.36,388.87,165.43,231.35,226.86,254.41,358.64,354.73,394.66,306.77,253.40,299.77,491.68,483.61,488.86,486.26,466.41,461.18,469.09,460.75,443.15,432.21,427.15,437.74,416.80,407.20,402.60,401.53,364.85,406.79,384.76,396.38,352.63,341.12,344.46,357.78,342.23,360.47,330.28,314.84,316.85,313.95,295.64,278.58,271.83,267.15,257.08,251.02,246.49,236.38,225.53,254.20,239.53,242.94,272.25,225.55,483.06,475.46,482.75,166.97,,,,,,,,,,,,,,
2003-03-23 21:55:52.571000,L7,429.45,425.49,381.52,393.63,281.46,282.83,229.07,348.42,293.96,390.11,349.44,301.08,291.98,273.55,373.94,389.83,418.01,257.67,404.31,224.83,164.40,455.14,431.80,408.30,397.59,393.24,393.01,378.12,371.26,359.56,391.00,378.50,350.27,345.47,333.94,326.98,340.89,335.52,325.75,308.78,296.25,280.77,303.80,276.36,261.86,260.63,259.87,238.56,239.23,255.04,244.10,238.18,158.85,210.13,214.85,212.03,199.51,476.92,473.33,474.63,188.96,,,,,,,,,,,,,,
2003-04-08 21:55:59.443000,L7,495.69,499.83,499.61,483.90,411.68,417.40,466.11,468.59,449.99,,466.22,394.22,377.72,211.05,209.32,202.06,,,235.49,216.06,245.62,233.83,403.25,389.00,388.87,376.02,366.86,354.31,356.86,342.88,237.17,220.46,210.37,181.84,186.36,305.60,311.19,313.63,313.42,291.02,273.42,281.17,280.81,258.96,219.39,236.95,232.14,182.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:55:58.309000,L7,321.55,422.19,381.90,404.23,533.25,515.46,501.55,495.84,481.06,453.98,500.22,465.26,463.82,289.77,455.06,451.25,447.79,412.61,440.51,441.73,433.33,419.93,404.41,398.53,391.34,383.90,384.65,378.95,401.73,401.66,363.61,383.70,354.25,357.90,351.66,341.50,390.32,390.59,383.47,356.39,324.32,317.25,301.94,286.16,270.88,266.87,264.10,259.32,255.91,253.36,225.65,222.36,229.43,227.65,211.19,221.94,214.01,485.52,489.90,479.64,,,,,,,,,,,,,,,
2003-07-21 21:43:45.776000,L5,,,,,173.00,197.08,195.38,223.87,274.78,299.25,507.63,496.27,497.73,490.04,262.41,270.64,325.60,472.68,472.37,460.64,444.82,447.18,447.61,440.53,450.20,419.12,402.38,394.51,393.48,386.30,386.27,388.14,381.90,377.15,366.78,360.29,364.21,356.54,355.19,333.38,328.13,315.13,319.51,294.32,279.29,277.67,276.28,261.92,260.58,252.36,242.63,237.17,263.98,270.99,250.20,250.24,239.10,353.64,467.27,467.40,201.99,201.49,190.54,197.06,189.45,180.34,175.56,187.99,187.31,179.21,150.53,,,,
2003-12-28 21:45:57.554000,L5,504.47,522.80,518.58,508.42,485.92,467.13,466.36,477.40,475.69,470.24,412.94,478.09,464.88,455.21,344.67,435.43,394.02,314.29,336.11,330.43,356.75,380.25,392.76,212.48,313.06,258.78,349.92,333.05,346.12,330.29,341.01,340.73,344.93,315.59,324.85,339.55,263.71,276.28,286.41,275.57,213.40,284.02,272.07,248.61,254.34,247.96,254.91,236.74,230.39,215.04,160.32,184.64,180.32,216.17,198.32,156.80,199.85,429.09,345.18,275.85,168.68,,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,494.89,435.92,431.87,512.04,494.08,218.47,207.51,304.65,367.17,405.99,410.68,404.78,451.97,436.56,203.58,226.09,347.04,,340.08,337.88,348.40,364.83,344.81,177.67,,,,363.72,371.63,365.07,363.16,368.18,347.74,331.52,326.79,334.97,330.37,325.05,321.75,309.36,289.66,295.53,294.83,273.40,256.74,248.12,251.66,228.11,224.69,198.40,138.90,163.93,175.87,208.49,199.47,,,432.28,357.30,278.01,,,,,,,,,,,,,,,
