dates,satname,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2004-11-26 22:05:17.306000,L5,221.47,214.05,203.78,204.48,200.01,205.13,228.36,243.81,246.56,238.65,231.83,229.82,233.31,236.61,243.37,233.51,227.65,215.52,222.58,220.19,220.89,221.48,228.81,230.65,243.54,250.84,262.57,261.97,263.47,263.27,255.92,259.56,257.79,260.46,264.13,271.58,277.01,291.33,294.07,302.23,303.74,305.02,296.34,302.24,292.22,301.78,286.10,265.94,263.34,266.31,274.88,268.81,276.16,277.48,295.12
2005-02-14 22:06:33.160000,L5,,,,,,,,,,198.78,202.30,206.04,206.72,208.12,214.49,199.27,190.06,182.95,187.28,190.39,196.19,194.61,198.40,205.24,217.19,225.68,237.74,230.15,226.98,227.03,204.81,210.97,215.31,206.26,214.33,222.50,230.87,238.98,246.02,248.22,268.58,284.52,273.17,273.82,262.33,275.80,254.82,232.41,228.27,235.51,248.75,192.93,,,
2005-03-02 22:06:47.890000,L5,193.83,188.85,178.72,176.94,176.62,,190.09,214.80,225.40,215.59,206.84,205.14,207.63,212.03,217.06,208.39,199.38,187.62,189.43,192.60,195.54,198.00,199.08,208.39,220.21,226.67,241.08,235.77,238.72,235.54,222.91,217.34,224.96,216.05,226.74,240.17,244.96,255.04,255.80,258.52,275.84,282.83,273.02,270.81,254.59,271.55,259.69,229.74,226.64,228.47,254.57,232.40,237.88,233.99,256.67
2005-07-08 22:07:39.349000,L5,194.92,189.87,182.60,187.71,181.87,173.31,184.21,220.21,227.46,219.82,220.63,229.05,235.49,237.26,244.84,235.94,218.51,218.82,217.15,216.24,213.77,223.82,222.38,221.69,234.16,241.16,256.42,248.51,248.64,240.24,236.05,,,,241.55,242.15,246.88,,,261.86,287.17,291.99,174.60,272.74,,271.96,262.40,,,,,,,,
2005-08-25 22:08:04.916000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.67,270.76,263.92,256.35,239.43,261.61,242.71,216.76,176.94,155.54,,,,,
2005-09-10 22:08:07.620000,L5,,,,,,,192.79,225.20,218.04,218.36,204.43,216.14,223.46,217.06,210.16,214.18,202.86,194.90,194.10,201.15,202.21,201.99,205.84,211.99,220.18,229.76,243.10,234.79,230.29,234.28,221.95,225.72,232.03,224.76,232.06,240.71,247.34,254.73,263.86,272.50,280.58,287.81,277.69,263.61,255.55,269.03,249.11,236.74,228.96,227.35,,,,,
2005-11-13 22:08:20.468000,L5,,,,,,,174.86,207.41,205.29,202.18,187.05,186.01,192.23,197.02,202.78,203.90,184.15,181.75,179.44,182.34,191.35,194.16,202.95,200.38,217.26,225.39,238.60,235.76,212.96,,,,,,,,,,,,267.56,275.76,263.35,256.86,232.33,262.51,250.07,209.17,217.67,178.95,,,,,
2006-02-17 22:10:34.688000,L5,,,,,,,179.74,204.90,209.55,205.44,193.40,193.54,197.10,203.44,203.61,199.55,183.46,178.90,180.64,180.69,188.04,188.23,191.31,195.00,211.63,216.40,229.85,224.57,226.35,224.15,211.60,204.98,213.54,208.42,211.23,227.33,232.46,239.98,247.74,255.78,272.31,278.03,265.32,266.60,250.23,266.07,246.78,223.11,217.97,228.29,187.06,,,,
2006-06-25 22:12:44.015000,L5,,,,,,,178.38,217.86,218.93,212.89,211.22,211.43,229.00,222.99,231.08,216.85,201.65,197.55,204.43,,200.44,200.28,217.47,216.59,227.55,239.51,249.87,246.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-13 22:13:47.312000,L5,,,,,,,162.30,196.93,204.78,197.54,185.61,184.94,190.14,200.51,194.46,197.54,178.27,176.12,172.93,167.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-31 22:14:17.081000,L5,217.64,205.06,198.13,198.67,196.15,191.52,228.16,241.84,241.39,236.25,227.58,229.13,232.05,237.01,238.06,230.66,219.30,211.17,211.29,213.69,214.51,218.87,224.90,226.57,236.63,235.82,253.59,256.16,261.73,250.24,236.56,240.54,232.90,250.36,259.67,269.90,271.27,280.90,286.19,280.91,240.70,287.90,304.33,309.17,298.65,301.37,286.79,259.30,216.03,,,,267.13,253.96,235.54
2007-02-04 22:14:57.320000,L5,219.03,208.25,203.39,200.41,201.59,192.74,229.04,244.93,247.75,233.58,230.15,230.53,236.11,233.34,245.23,231.78,220.92,217.00,220.46,221.25,221.81,227.43,227.56,228.60,235.76,244.83,262.44,261.06,254.92,248.05,240.80,242.00,244.21,248.96,253.13,262.87,266.49,281.26,289.04,296.46,316.66,321.29,314.22,313.42,306.83,313.27,303.51,274.98,270.48,282.73,291.58,278.18,274.13,272.21,286.44
2007-10-02 22:12:54.699000,L5,,,,,,,172.51,201.50,211.21,210.38,208.97,211.42,206.35,212.96,217.64,214.85,201.53,190.09,187.65,184.49,196.38,197.72,198.53,197.34,,,,,,185.73,225.18,235.87,233.17,222.44,165.43,,,,,,,,,,,,,,,,,,,,
2010-01-27 22:10:50.221000,L5,231.95,214.00,210.83,206.27,216.67,194.65,229.79,242.17,245.51,235.47,234.27,230.92,239.08,236.18,245.84,232.26,224.97,215.21,218.67,218.95,222.47,223.23,224.09,223.37,230.03,238.82,253.99,257.55,251.10,257.38,250.22,255.79,258.16,262.73,262.41,270.99,275.51,287.96,298.00,301.13,318.69,323.90,314.58,306.87,300.22,297.04,285.55,275.34,276.28,285.63,289.74,277.47,281.95,276.23,288.32
2011-02-15 22:09:58.365000,L5,263.52,262.55,270.50,288.20,284.69,269.57,268.73,286.14,290.41,279.35,276.22,272.10,276.12,294.61,312.42,303.31,305.61,291.78,282.07,282.22,280.28,283.05,285.82,295.78,309.46,316.33,329.29,336.88,350.11,328.47,346.91,334.69,315.41,327.72,311.66,307.67,300.41,320.16,340.44,351.01,360.84,354.84,333.68,316.12,313.66,309.32,310.97,323.61,321.80,308.06,315.93,293.82,299.58,316.35,310.03
2013-05-11 22:21:55.010000,L8,196.12,178.59,177.49,178.10,182.23,168.00,205.18,227.89,220.81,214.56,218.23,211.84,216.07,218.93,228.86,215.29,203.51,198.09,200.51,202.36,204.81,202.66,202.20,211.66,210.39,228.15,189.80,,,,,,,,,,,,,,246.28,274.06,269.54,,,,,254.27,251.81,253.64,,,,,
2013-05-27 22:22:02.838000,L8,204.05,189.79,193.53,195.12,189.18,172.62,213.30,234.52,230.00,226.02,231.41,239.91,244.98,245.59,251.20,233.94,236.33,214.50,224.49,214.21,216.10,215.07,222.40,221.99,222.58,240.01,248.57,248.40,,,,245.90,249.51,246.89,246.08,260.32,264.66,270.50,283.87,283.66,282.25,280.13,274.90,,,,,260.45,256.29,255.58,,,267.75,277.86,292.10
2013-06-28 22:21:56.988000,L8,,,,,,,204.47,220.58,221.91,216.70,219.83,219.84,225.74,223.77,230.81,218.30,214.24,202.50,203.02,208.69,204.31,199.97,203.44,213.61,213.15,227.12,217.32,,,,,,,,,,,,,256.18,273.03,274.68,267.40,,,,,,,,,,,,
2013-07-14 22:21:58.456000,L8,200.96,189.54,182.07,187.55,186.14,169.68,214.09,228.56,230.18,223.56,219.56,221.54,225.42,225.80,234.17,223.48,212.74,207.65,209.43,213.12,210.06,211.46,214.22,214.28,218.63,229.91,242.87,244.88,240.46,246.47,239.48,243.93,248.34,,246.73,255.48,265.50,253.74,280.24,282.99,281.42,238.55,272.16,267.18,,264.67,257.46,259.06,,,,,,,
2013-07-30 22:21:59.508000,L8,,,,,,167.63,205.26,227.73,220.82,214.86,217.99,216.51,217.24,218.29,229.29,216.88,204.31,197.97,201.32,204.04,205.91,202.55,203.31,212.09,210.48,227.87,235.97,241.69,,,,,,,,,,,,278.19,277.37,273.95,240.05,,,,,252.96,251.10,230.92,,,,,
2013-09-16 22:21:57.385000,L8,233.45,218.69,213.17,216.52,222.45,207.47,236.77,254.32,264.26,266.73,267.90,255.43,289.88,299.78,303.27,287.50,283.64,285.20,242.21,236.30,246.52,238.20,254.38,232.92,242.57,252.72,264.09,265.88,260.92,268.45,265.09,265.01,266.18,264.28,265.76,271.42,280.41,292.79,301.67,338.94,301.92,293.44,289.78,290.84,284.61,296.66,273.79,274.63,271.94,301.47,273.78,275.53,288.99,299.86,304.85
2013-10-18 22:21:49.490000,L8,228.82,219.53,211.07,210.02,211.75,214.27,238.50,254.41,259.88,261.25,227.41,244.60,254.07,260.94,260.49,249.74,247.43,241.65,235.71,241.14,234.07,239.95,236.90,231.75,257.78,269.99,260.25,266.46,270.42,279.06,290.50,284.36,287.64,313.89,318.73,329.06,277.75,323.06,343.22,319.26,246.25,,228.89,263.89,,,250.97,284.45,277.28,287.28,295.00,277.44,277.49,283.53,
2013-12-21 22:21:27.090000,L8,,,,,,,204.93,221.26,217.89,210.46,199.69,204.83,208.98,210.85,220.40,210.80,198.77,193.93,192.50,200.42,200.79,199.78,199.12,202.13,207.03,217.73,234.18,236.26,231.58,233.76,236.00,227.94,236.66,234.90,239.85,245.48,253.63,266.04,275.69,279.54,276.85,270.60,267.18,257.39,255.53,256.50,246.44,244.09,244.05,244.11,237.92,249.45,250.86,255.71,276.98
2014-02-07 22:20:57.101000,L8,,,,,,,,,,,,,,,,,,,,,258.37,221.87,244.36,239.30,234.85,243.01,256.20,256.04,251.63,256.98,251.34,252.43,255.56,261.84,262.26,267.59,275.44,287.37,296.73,299.07,298.01,292.60,286.40,277.00,273.37,272.17,263.87,261.42,261.10,255.87,264.46,268.43,271.91,273.74,294.04
2014-07-01 22:19:46.174000,L8,211.01,196.72,198.02,196.19,192.49,174.88,216.73,235.14,235.67,228.36,230.62,238.25,244.73,248.00,247.10,245.88,233.07,229.62,230.80,217.85,212.47,218.14,219.07,220.03,224.87,232.46,206.96,201.04,219.67,203.34,215.94,213.00,178.01,218.08,210.82,198.94,262.37,273.09,283.87,283.89,287.31,280.95,274.24,269.64,265.00,231.12,253.66,255.53,,,,,,,
2014-07-17 22:19:52.017000,L8,203.09,190.45,169.89,188.09,184.18,172.64,209.31,229.21,228.58,222.79,221.51,223.73,229.87,230.28,237.38,230.53,219.03,210.89,213.11,212.96,208.92,210.16,213.37,216.91,218.32,228.83,246.77,244.31,241.58,247.45,237.81,215.60,248.77,239.77,249.19,255.14,264.77,248.08,252.71,248.79,240.31,163.24,273.70,268.48,264.74,265.11,253.91,253.59,252.91,253.37,,,,,
2014-09-03 22:20:06.649000,L8,,,,,,,205.97,220.09,220.03,213.36,204.12,209.96,214.06,216.41,225.03,212.02,203.04,198.98,197.42,203.95,203.02,202.92,203.37,209.30,210.22,220.98,235.74,178.77,232.48,236.28,239.05,236.28,241.84,237.12,244.46,250.12,258.17,270.29,276.78,282.95,277.47,274.66,269.75,264.74,263.74,260.22,249.59,246.71,245.85,247.47,,,,,280.38
2014-09-19 22:20:06.551000,L8,236.92,234.62,243.56,227.32,236.11,243.26,241.41,266.20,275.52,266.84,254.15,261.44,269.36,255.11,270.62,255.90,278.05,272.39,264.06,263.70,261.97,281.56,240.82,289.55,295.26,276.28,268.44,265.49,269.16,267.18,261.97,266.72,268.75,273.04,273.88,282.47,287.77,294.83,303.45,308.89,309.72,298.84,298.01,288.46,286.66,286.01,279.91,273.71,272.14,273.10,275.79,300.54,310.45,287.48,304.58
2014-10-21 22:20:13.482000,L8,240.50,225.12,230.49,222.47,239.61,249.79,239.23,267.64,281.42,287.91,284.22,260.65,264.33,266.75,268.83,258.71,249.44,244.42,276.45,241.92,236.06,231.63,231.96,232.89,239.66,246.43,260.28,263.95,256.36,260.94,257.97,257.22,261.86,262.87,267.12,273.13,279.95,291.88,301.41,304.36,301.44,296.66,290.24,282.95,281.69,279.79,277.04,270.24,268.21,271.35,273.43,277.64,276.86,284.61,298.75
2014-11-06 22:20:13.200000,L8,233.22,217.59,231.41,229.83,198.95,233.68,231.13,259.68,255.00,264.76,249.26,252.27,252.59,261.09,261.46,256.03,252.65,237.12,230.89,237.08,231.85,235.51,235.88,232.82,238.33,246.20,259.46,266.49,246.11,273.28,266.69,258.52,261.53,258.84,264.64,271.69,279.10,291.42,300.75,304.27,300.85,295.64,290.26,283.03,279.74,280.60,275.05,268.98,268.31,270.18,269.39,273.29,277.28,283.46,300.64
2014-12-24 22:20:05.791000,L8,231.85,219.40,231.19,246.26,246.48,244.38,231.79,261.20,258.21,261.27,243.65,256.55,251.78,258.49,255.81,253.07,249.74,236.97,227.04,235.96,237.27,239.74,234.77,229.46,230.88,239.04,256.19,260.59,254.08,259.39,255.56,253.99,259.29,256.92,261.69,269.68,275.62,287.83,299.47,303.21,299.42,293.59,285.80,280.62,279.07,279.20,272.64,267.99,265.70,269.58,267.67,272.16,277.07,280.31,299.38
2015-01-25 22:19:56.553000,L8,,,,,,,199.37,214.14,211.79,204.54,196.76,204.11,204.43,208.15,213.70,199.15,183.67,190.24,190.72,192.64,181.97,192.99,190.24,,,,,,,,,,,,,,,,,,,,,,246.44,255.36,221.21,238.67,232.64,180.80,,,,,262.39
2015-02-10 22:19:50.748000,L8,235.63,224.14,226.28,236.87,268.01,230.98,237.36,263.63,284.32,281.77,243.98,258.83,260.17,260.57,262.33,253.84,252.33,241.75,230.25,232.79,236.27,237.41,236.35,234.95,238.93,247.52,257.81,260.29,256.27,261.11,257.91,257.74,263.08,261.82,263.96,275.51,278.84,290.61,300.81,304.18,300.78,295.75,290.55,281.63,280.54,284.01,279.58,269.88,268.06,272.14,269.69,273.31,277.00,283.44,300.38
2015-02-26 22:19:46.745000,L8,,,,,,,,,,,,196.90,202.51,195.05,213.33,205.88,184.72,,,,,,,,,,,,,,,,,,,,,,236.09,274.81,276.20,267.81,261.15,241.88,252.78,255.55,233.78,240.92,239.63,205.61,,,,,
2015-03-14 22:19:35.284000,L8,,,,,,168.76,209.65,227.86,222.84,215.26,212.52,215.79,219.02,223.75,226.20,221.40,209.45,202.43,204.03,207.18,205.08,209.17,205.70,212.12,216.57,225.97,234.84,240.60,233.46,239.12,236.66,238.01,243.26,236.57,243.62,251.58,260.64,271.79,282.06,284.51,284.50,277.47,268.62,266.36,260.02,263.13,251.23,252.78,248.85,249.35,198.85,216.97,214.72,230.08,229.63
2015-04-15 22:19:22.587000,L8,198.59,187.39,188.66,186.77,185.08,171.24,212.83,229.55,225.44,217.90,218.01,224.08,224.10,224.53,230.88,223.98,211.45,206.58,206.34,207.18,208.80,209.37,210.77,214.91,216.40,228.76,238.09,241.65,240.70,243.28,239.71,242.34,247.60,239.15,246.16,255.09,266.04,274.41,284.31,288.24,286.61,279.22,271.59,268.43,265.26,265.64,258.34,255.92,253.17,253.64,253.50,255.37,259.65,267.22,283.31
2015-08-05 22:19:36.851000,L8,,,,183.48,186.86,170.64,211.86,230.35,226.94,224.49,220.94,234.25,227.80,237.33,235.61,223.60,209.70,208.42,207.43,209.23,208.75,208.21,213.24,211.51,217.69,228.76,236.54,242.56,,,,,,,245.44,255.48,263.58,271.40,277.47,283.87,283.86,278.64,271.99,,,,247.68,254.16,248.35,254.05,,,,,
2015-08-21 22:19:45.276000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.18,256.95,266.11,231.78,280.36,284.26,275.18,,,,,,,,,,,,,
2015-09-06 22:19:50.737000,L8,196.58,188.77,182.50,185.13,184.82,169.17,211.43,227.02,225.94,219.98,215.44,220.86,222.38,222.83,230.47,221.57,209.01,204.69,202.93,207.56,209.16,206.12,209.06,211.30,213.90,226.54,238.20,242.40,236.59,241.21,238.84,241.30,246.39,239.15,247.03,254.29,262.58,273.55,279.93,285.72,282.79,277.79,271.36,266.62,264.83,263.57,255.24,251.74,252.86,253.69,249.89,253.46,257.51,260.82,
2015-10-08 22:20:00.596000,L8,,,,,,,,,,,,,,,213.31,204.22,193.56,201.48,201.03,197.93,202.61,202.28,203.33,206.69,210.80,220.85,231.71,230.82,,,,,,,240.83,247.15,255.00,263.62,257.23,278.34,276.30,276.23,268.45,261.15,257.94,261.31,245.40,243.18,245.37,237.03,,,,,
2015-12-27 22:20:07.153000,L8,,,,,,,196.79,211.88,206.90,204.64,185.44,200.96,200.02,,,,,,,,,,187.49,196.09,193.61,211.64,224.75,229.58,228.60,221.27,204.63,197.36,176.14,207.96,215.80,181.49,252.94,262.51,249.87,274.68,273.52,269.39,262.05,254.52,249.73,252.57,240.71,240.26,239.97,215.49,,,,,
2016-02-13 22:19:56.477000,L8,,,,,,,207.75,219.43,217.88,212.04,204.74,215.35,215.19,215.76,221.96,215.73,202.01,197.56,195.32,197.26,203.35,198.62,202.84,204.35,205.62,215.23,231.71,237.56,231.14,234.36,231.41,230.89,235.91,234.96,240.72,247.38,253.73,269.03,276.48,278.73,277.87,272.51,268.24,255.06,261.55,258.30,246.81,244.51,243.86,245.33,238.97,191.82,253.10,256.79,217.70
2016-02-29 22:19:53.146000,L8,,,,,,,202.61,216.60,217.64,210.75,200.74,213.53,209.05,214.02,223.40,205.21,189.87,192.76,187.01,199.74,192.16,197.94,195.33,197.53,199.13,214.60,231.87,229.88,229.06,231.19,208.93,226.02,234.83,222.44,,243.06,252.71,262.74,260.72,274.51,275.47,270.03,262.13,259.69,252.54,253.63,240.76,239.14,242.01,198.39,,,,,
2016-03-16 22:19:48.512000,L8,233.60,242.41,278.21,278.67,265.95,233.45,296.64,295.07,280.32,283.38,270.23,271.24,260.43,268.31,275.62,269.78,257.46,246.97,241.13,253.33,251.67,242.70,241.18,239.15,247.44,251.89,261.48,270.59,259.67,260.45,267.06,259.58,268.71,274.23,272.83,278.02,286.35,297.47,301.25,305.66,311.13,304.23,297.31,290.39,289.48,292.76,283.23,297.04,275.54,275.18,281.27,278.62,282.51,296.61,304.39
2016-04-17 22:19:33.425000,L8,,,,,,167.37,207.46,221.46,223.68,217.33,216.58,226.76,227.92,222.24,230.90,219.78,210.83,202.42,196.95,203.84,204.69,201.52,205.45,210.52,209.13,222.60,234.35,237.35,,240.66,236.36,241.09,238.21,221.72,241.79,248.82,256.97,264.23,276.88,278.94,279.39,275.76,267.96,265.01,243.72,263.24,241.16,251.10,243.81,238.55,,,,,
2016-09-08 22:20:12.615000,L8,224.74,229.19,221.34,214.21,213.99,208.06,236.87,258.10,259.22,255.22,248.97,268.97,266.85,273.30,275.64,269.02,260.38,246.74,241.59,240.78,244.01,241.13,242.39,249.03,254.24,260.64,268.80,273.98,267.10,267.94,264.51,264.55,265.31,265.67,269.03,275.69,284.94,290.82,303.08,304.52,312.36,300.36,298.62,290.63,288.72,287.86,277.82,280.12,273.52,277.38,275.13,277.69,281.67,287.68,303.23
2017-02-15 22:19:55.596000,L8,224.27,218.33,215.74,210.05,202.46,238.72,277.12,247.96,253.38,249.34,237.94,251.15,257.76,264.54,264.40,260.09,249.34,231.64,227.76,228.81,246.28,233.97,250.75,237.12,230.78,245.43,258.41,256.38,254.54,256.75,251.18,253.31,258.80,255.05,261.63,263.79,272.02,281.32,293.95,297.90,299.95,293.55,288.00,280.30,281.44,277.03,269.56,268.84,266.17,272.96,272.24,275.50,284.01,290.46,305.37
2017-04-20 22:19:23.200000,L8,201.70,193.42,195.49,190.16,188.38,172.45,216.52,228.59,229.50,222.34,220.58,239.73,243.71,240.45,246.15,238.43,220.73,211.00,210.45,211.60,212.60,212.07,214.71,216.41,219.33,228.60,243.40,245.59,241.23,245.88,241.10,243.07,246.42,244.29,249.66,254.30,261.60,270.90,281.90,286.77,289.05,282.61,274.88,270.82,267.69,268.40,258.74,258.03,255.09,257.12,204.90,221.50,191.84,204.57,223.92
2017-06-07 22:19:38.989000,L8,202.33,192.50,194.53,189.41,190.97,169.63,215.81,230.19,232.86,225.01,220.90,242.90,246.43,248.06,249.27,241.95,223.14,212.46,214.13,211.80,211.14,212.31,217.47,214.96,218.51,229.11,242.50,220.87,240.58,247.27,239.88,245.37,244.00,241.86,248.98,252.86,264.19,,,282.18,286.91,279.99,272.84,268.74,264.68,265.69,254.99,254.61,254.09,255.59,,,,,
2017-07-09 22:19:47.659000,L8,205.67,193.11,196.77,191.26,189.70,170.47,216.05,231.84,233.28,226.17,223.77,244.32,249.36,251.19,252.28,248.33,230.58,218.22,216.57,213.26,211.19,209.73,216.39,217.13,218.36,225.72,204.99,215.87,223.52,208.63,220.24,218.09,205.80,218.11,220.69,206.95,262.57,265.17,212.55,283.25,281.85,279.23,272.28,268.94,264.60,266.47,229.25,253.50,248.25,254.96,,,,,
2017-11-30 22:20:08.264000,L8,224.06,223.16,214.27,214.88,215.23,209.34,242.94,257.84,257.01,252.94,243.40,256.91,271.38,269.69,274.91,263.06,256.85,248.56,236.91,243.76,244.58,244.40,243.47,236.46,235.24,243.88,257.49,258.67,253.86,259.19,255.17,254.72,258.35,257.92,262.94,268.30,273.45,284.70,294.35,302.91,305.07,299.60,291.65,288.76,285.25,287.39,276.07,285.73,269.29,273.34,277.09,274.82,279.07,281.99,298.31
2018-01-17 22:20:01.210000,L8,194.67,187.83,180.33,180.36,180.94,168.90,209.72,224.71,220.95,217.88,211.68,228.25,231.87,234.48,235.77,226.58,212.79,203.53,200.33,199.95,202.34,,,,,,,,,,,,,,,234.21,250.60,252.52,256.20,271.90,276.82,273.00,264.23,253.83,252.97,251.99,235.08,239.11,233.74,228.96,,,,,
2018-02-02 22:19:51.630000,L8,225.44,207.75,202.70,196.03,193.55,194.06,222.38,248.24,252.49,240.78,235.65,238.78,247.31,249.58,254.35,248.79,239.08,233.35,228.03,227.89,227.84,222.46,226.73,227.29,233.99,246.61,257.90,267.24,262.47,266.20,261.99,255.95,259.03,264.05,266.55,273.59,277.12,286.09,299.23,303.24,302.93,297.06,289.25,279.96,275.68,275.53,268.73,269.10,261.59,264.40,264.97,270.96,273.36,283.15,299.45
2018-03-06 22:19:38.520000,L8,214.27,278.53,258.90,255.34,229.99,193.95,217.96,243.42,242.82,238.32,233.87,244.96,250.36,258.93,261.76,251.07,245.93,236.09,236.27,232.51,234.43,229.99,236.97,235.31,241.68,248.19,261.38,289.92,255.24,257.97,255.70,255.62,263.49,263.25,266.33,269.18,277.41,286.65,296.84,299.82,300.09,300.39,287.53,280.06,277.63,276.46,270.07,267.32,265.04,266.83,266.95,272.47,276.12,278.60,302.42
