dates,satname,nzd0460-0000,nzd0460-0001,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0065,nzd0460-0066,nzd0460-0005,nzd0460-0006,nzd0460-0009,nzd0460-0010,nzd0460-0011,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0020,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0074,nzd0460-0002,nzd0460-0003,nzd0460-0004,nzd0460-0007,nzd0460-0008,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,nzd0460-0046,nzd0460-0012,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0040,nzd0460-0035,nzd0460-0030
2002-04-01 22:21:30.414000,L7,444.77,,,,,,,,,,,,,,,,,,272.06,277.03,255.88,252.71,241.50,239.04,197.92,232.66,184.15,192.45,202.28,199.71,227.28,203.07,201.67,225.38,211.42,227.22,275.04,281.69,257.74,287.80,251.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-24 22:20:31.166000,L7,,,,,,,437.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.77,434.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-03 22:14:17.207000,L7,,,,,,170.81,252.44,331.29,269.67,,,274.41,,,,,,,,,,,,,,,,,,,,,203.51,194.06,,287.08,,,,,,,,228.38,,,,,,,,256.14,258.64,260.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.20,198.50,
2002-10-10 22:20:20.300000,L7,,,337.61,316.31,317.91,343.23,496.15,532.36,406.22,404.31,431.06,421.03,354.39,272.46,524.23,413.13,375.68,369.50,397.05,430.49,396.12,327.81,315.57,320.65,304.00,261.30,248.60,268.94,256.60,279.70,307.26,281.72,343.22,355.94,482.30,510.13,516.77,390.29,384.56,379.64,395.32,349.47,363.33,331.27,458.07,467.67,468.53,483.51,320.24,323.50,305.71,231.29,401.28,421.00,488.28,481.82,483.19,485.27,500.53,492.78,246.26,222.82,,,278.67,469.21,489.77,265.72,167.41,308.23,215.95,223.45,473.10,493.13,491.31,348.32,341.24,289.19,356.39,402.19,297.27,306.96,341.72,528.67,322.02,258.14
2003-01-07 22:14:52.811000,L7,302.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-24 22:15:13.300000,L7,316.04,256.66,,,,,265.08,251.39,324.88,278.30,267.78,266.37,295.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.78,337.74,252.09,222.93,274.32,296.58,287.08,223.04,214.65,300.19,334.31,270.76,269.34,310.82,363.95,365.12,263.42,370.92,369.63,295.22,284.08,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-12 22:15:18.779000,L7,,,,,,,255.72,255.96,327.56,268.94,312.10,276.03,240.67,,,,,,252.64,348.66,501.77,300.88,,,,,,,,,,,,191.42,225.93,217.32,248.04,263.14,271.19,263.24,273.56,325.38,,236.00,324.30,304.32,241.65,269.31,239.32,271.46,296.62,298.83,283.14,276.82,285.94,268.30,330.83,246.69,253.20,379.00,383.96,371.96,,,,,,393.39,406.52,398.74,392.88,387.35,403.04,407.00,,369.77,366.69,339.09,278.63,,,,,236.33,,
2005-10-10 22:20:47.763000,L5,328.04,201.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.15,,,,,,,,,,,,,,,,,,,,,,,
2006-08-26 22:26:19.776000,L5,381.81,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.68,169.06,165.87,,,,,,,,,,,,,,,,,,,,,
2006-12-09 22:21:12.760000,L5,469.96,436.70,,,,,,,,,,,,487.70,390.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.13,200.87,209.35,362.36,309.43,413.72,416.42,453.20,219.86,231.04,241.19,232.68,231.17,235.84,244.83,273.04,267.97,191.02,234.35,,,,,,,,
2013-06-26 22:34:41.856000,L8,420.10,234.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.49,,,,,,,,,,,,,,,,,,,,,,,
2013-09-14 22:34:43.899000,L8,407.11,206.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.62,,,,,,,,,,,,,,,,,,,,,,,
2013-11-17 22:34:25.042000,L8,452.31,285.59,,,,,167.24,161.78,,,,,,170.44,,,,,,,,,,,,,,,,,,,,,,,,,220.34,202.51,187.02,182.50,208.24,197.93,,,,,,,,,,,,,,,,,,,201.11,201.38,181.26,,,,,,,,,,,,,,181.92,,,,,,,
2013-12-03 22:34:22.573000,L8,434.83,200.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19 22:34:12.842000,L8,471.29,256.20,,,,,158.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.57,203.69,201.30,188.22,186.39,165.28,180.87,,,,,,,,,,,,,,,,,,,194.83,189.47,170.54,,,,,,,,,,,,,,206.64,,,,,,,
2014-01-13 22:27:45.180000,L8,386.56,,,,,,185.86,179.62,175.51,193.36,190.86,166.18,180.55,,,,,,,,,,,,,,,,,,,,,,,,158.66,173.03,188.84,179.52,199.36,,,173.26,177.72,166.55,156.99,176.79,,201.85,195.47,194.14,214.44,,193.00,201.91,211.57,215.96,225.42,233.47,235.40,244.65,,,,,,257.15,208.88,207.53,210.78,216.89,289.20,292.72,322.36,316.44,303.83,313.96,,,,,,,,
2014-03-02 22:27:09.178000,L8,414.57,369.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12 22:32:19.647000,L8,365.67,231.07,,,,,,,,,,,,,,,170.86,181.00,209.58,179.22,173.01,,,,,,,,,,,287.09,,,,,172.04,194.38,199.14,189.99,190.64,178.93,174.89,,,,,,,,,,,,,,,,,,,,205.92,200.46,192.50,,,,,,,,,,,,,,188.16,195.26,275.35,285.44,293.06,,,
2014-06-22 22:26:17.171000,L8,353.72,278.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.60,196.52,198.10,246.11,302.90,328.27,,,,,,,,,,,,,,,,208.91,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03 22:32:56.013000,L8,,,,,,499.53,174.23,168.87,,,,,,,,,,,,,,,,,,,,,,,,,515.31,528.44,,,,,,,164.53,181.78,183.67,171.15,,,,,,288.99,262.05,253.67,257.74,,,,,,,,,,,,,,,,,,,,,,,,,,176.99,,,,,,507.78,
2014-11-04 22:32:58.094000,L8,433.71,199.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.92,194.77,203.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.21,,
2014-12-15 22:26:40.930000,L8,334.25,239.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.75,,,,,,,,,,,,,,,,,,,,,,,
2014-12-22 22:32:52.265000,L8,429.91,196.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31 22:26:35.482000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.32,285.48,302.33,311.28,317.04,322.27,,,,,,,,,,
2015-04-13 22:32:08.069000,L8,,,,,,,173.10,186.58,196.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.21,220.13,231.42,,,174.74,177.27,170.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11 22:26:05.596000,L8,342.22,240.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18 22:32:19.409000,L8,383.39,229.23,,239.25,241.62,254.88,,,,,,,,,,,,,,,,,,,,,,,401.83,415.15,411.16,412.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.96,204.45,,,,,,,,,,,,,,,,,437.73,,,,264.39,
2015-09-13 22:26:29.621000,L8,347.31,278.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-20 22:32:43.512000,L8,404.15,329.55,,,,,,,,,,,370.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.00,304.88,297.80,308.70,279.83,231.08,180.23,,174.13,,,,,,,,,,,,,,,,,,,,,,,
2015-12-18 22:26:42.726000,L8,315.23,297.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.53,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03 22:26:39.547000,L8,335.07,239.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10 22:32:49.418000,L8,371.12,346.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.09,194.25,197.05,205.23,,,,,,,,,,,,,,,,,,,,,204.44,197.89,,,,,,,,,,,,,,,196.26,,,,,,,
2016-04-08 22:26:11.653000,L8,298.60,225.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.83,,,,,,,,,,,,,,,,,,,,,,,
2016-04-24 22:26:04.497000,L8,382.64,328.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-26 22:26:12.554000,L8,379.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-02 22:32:25.353000,L8,403.72,213.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.65,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20 22:32:44.045000,L8,362.84,212.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.76,,,,,,,,,,,,,,,,,,,,,,,
2016-08-05 22:32:46.763000,L8,390.81,208.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.63,,,,,,,,,,,,,,,,,,,,,,,
2017-03-17 22:32:26.652000,L8,419.68,210.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.79,209.17,,,,,,,,,,,,,,,,,,,,,,
2017-04-02 22:32:18.852000,L8,429.12,211.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.10,,,,,,,,,,,,,,,,,,,,,,,
2017-05-04 22:32:03.123000,L8,398.94,370.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.02,189.35,204.71,216.64,217.11,230.30,,,,,,,,,,,,,,,,,,,,,,,,,182.95,175.79,,,,,,,,,,,,,,,,,,,,224.89,186.81,
2017-05-20 22:32:14.958000,L8,402.12,213.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.83,214.47,196.36,,,,,,,,,,,,,,,,,,,,,175.74,,,,,,,,,,,,,,,,206.53,,,,,,,
2017-09-02 22:26:40.811000,L8,333.49,266.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.08,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 22:32:51.783000,L8,383.11,219.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.27,203.46,,,,,,,,,234.49,222.41,201.48,,,,,,,,,,,
2017-09-18 22:26:42.973000,L8,313.85,275.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.11,346.27,354.07,329.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04 22:26:49.608000,L8,324.79,289.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11 22:33:02.069000,L8,,,,,,365.02,,,,,,307.35,302.65,,,,,,,,,,,,,,,,,,,,370.68,385.03,380.75,,,,,,,,,,,,,,,,,,,389.89,315.56,307.37,,,,,,,,,,,,,,,,,,,,,,,,,346.16,380.53,366.46,,322.75,380.93
2017-11-12 22:33:00.649000,L8,394.22,191.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16 22:32:32.886000,L8,354.49,218.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.91,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04 22:32:25.254000,L8,363.77,242.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05 22:26:09.170000,L8,340.62,253.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07 22:26:21.825000,L8,340.00,278.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14 22:32:35.417000,L8,,,,,,,230.73,221.36,236.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19 22:32:28.626000,L8,340.75,208.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.91,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28 22:26:15.313000,L8,331.53,230.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07 22:32:23.651000,L8,355.82,195.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-04 22:26:19.798000,L8,343.49,279.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.91,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01 22:33:06.597000,L8,368.84,220.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.62,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:26:55.947000,L8,370.23,322.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03 22:26:14.440000,L8,472.84,464.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.47,387.16,381.53,,,,,,,,,,,,,,,,,,,,,
2020-09-01 22:32:54.885000,L8,466.14,340.48,,,,,240.70,287.95,238.60,,,,,204.08,189.89,180.53,215.82,225.73,235.38,178.17,172.17,,,,,,,,,,,,,161.15,183.14,190.70,243.04,428.46,431.80,436.43,385.03,205.45,249.50,250.59,,,,,,,,,,,,,,,,,,,242.90,218.93,223.04,184.67,182.03,,,,,,,,,,,,327.73,228.45,,,,218.24,,
2021-01-07 22:32:59.138000,L8,,,,,,,,,,,238.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.86,249.24,273.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18 22:32:41.619000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.40,295.76,339.13,306.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-23 22:33:06.066000,L8,404.79,201.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.89,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 22:32:53.662000,L8,418.67,198.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.66,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19 22:32:54.101000,L9,481.22,246.98,,,,,294.27,294.08,301.15,321.50,326.18,274.75,,240.05,,,,,240.65,244.47,240.75,,,,,,,,,,,,,,,,,,,,,270.39,270.62,278.61,302.49,238.94,281.29,279.43,292.78,313.24,303.31,229.71,272.17,243.05,,,,,,,,,231.04,223.07,234.49,,,,,,,,,,,,,,226.21,217.98,,,,,,
2022-03-31 22:32:29.258000,L8,,312.40,,369.94,,,,,,,,,,489.65,,,,,383.14,398.97,537.47,,,,338.14,478.94,461.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.25,204.23,204.34,,,,,,,,,,,,,,,,,,,,,
2022-04-09 22:26:22.933000,L8,310.25,249.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.79,265.58,270.17,,,,,,,,
2022-05-03 22:26:17.501000,L9,376.09,349.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.80,326.40,,,,,,,,,,,,,,,,,,,,,,
2022-05-10 22:32:24.077000,L9,421.75,222.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.78,167.63,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 22:32:15.419000,L9,444.07,215.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.68,,,,,,,,,,,,,,,,,,,,,,,
2022-06-03 22:32:47.310000,L8,426.44,224.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.88,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13 22:32:33.034000,L9,383.20,220.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.45,,,,,,,,,,,,,,,,,,,,,,,
2022-07-21 22:33:03.724000,L8,414.35,218.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.67,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08 22:26:47.494000,L9,335.70,261.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15 22:33:03.010000,L9,390.18,202.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.89,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23 22:33:24.233000,L8,442.91,191.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01 22:33:06.743000,L9,412.96,199.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.51,,,,,,,,,,,,,,,,,,,,,,,
