dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0068,nzd0211-0069,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0003,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0032,nzd0211-0036,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0047,nzd0211-0048,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0060,nzd0211-0061,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0070,nzd0211-0071,nzd0211-0078,nzd0211-0033,nzd0211-0034,nzd0211-0035
2001-10-29 21:41:57.341000,L7,,,,,,,,,234.31,263.36,246.03,358.35,363.50,359.42,356.56,349.31,291.50,312.65,297.37,331.52,346.20,315.35,,,,,308.27,297.90,301.40,313.39,294.76,282.63,295.58,241.62,,,,,,,,,,,,,305.74,317.22,323.59,325.59,326.18,312.43,324.70,327.21,328.22,331.54,332.43,330.24,329.65,335.57,333.19,332.12,341.17,319.75,337.11,338.77,352.10,343.06,352.75,353.80,355.40,348.83,345.98,351.57,346.80,297.93,,,
2002-02-02 21:42:30.783000,L7,499.18,457.27,365.68,350.67,347.47,336.51,350.53,361.64,368.67,352.38,355.01,384.59,373.30,361.50,355.67,357.39,344.40,348.48,389.94,368.42,373.97,347.48,360.62,352.94,358.00,352.18,347.78,361.81,377.33,354.57,278.69,411.62,446.88,488.53,424.18,,,,357.21,461.37,343.66,345.85,287.47,339.28,345.91,379.85,378.56,365.85,359.02,358.45,365.83,360.75,408.78,366.14,353.36,348.58,360.22,363.99,379.52,375.66,367.78,363.53,369.01,376.32,388.85,426.43,381.84,383.55,391.63,400.17,382.36,380.52,379.46,348.37,339.05,333.52,339.59,347.49,351.56
2002-02-18 21:42:30.251000,L7,365.57,365.80,361.78,370.47,368.22,360.18,367.35,364.83,417.92,368.49,380.08,416.55,374.60,376.32,390.21,375.69,368.37,373.38,360.06,377.85,377.48,351.69,348.34,359.69,358.96,362.50,377.86,381.72,383.92,373.07,378.98,369.68,369.97,365.13,372.59,370.94,365.63,308.06,266.26,256.99,257.69,255.76,255.48,243.25,367.41,386.37,379.54,389.77,381.13,374.04,374.23,371.80,394.50,370.04,365.51,380.72,385.62,387.87,407.74,382.21,376.93,392.05,393.53,391.01,400.28,399.77,407.62,413.47,416.37,423.58,420.77,391.62,411.62,376.56,373.00,332.59,262.90,254.87,290.24
2002-08-29 21:41:39.340000,L7,398.87,388.03,362.01,350.63,351.03,354.05,363.30,354.22,354.97,358.36,364.03,394.00,395.61,390.85,393.13,383.30,377.28,380.49,379.12,382.39,388.47,348.61,353.34,360.84,359.80,359.77,367.01,370.50,373.60,373.89,370.94,366.54,382.54,376.44,380.90,353.88,227.05,233.83,240.72,241.60,253.33,249.18,252.88,222.49,264.18,368.60,379.27,384.32,376.53,374.46,376.66,381.07,378.06,377.43,379.60,379.98,380.30,384.00,389.00,384.40,391.86,397.41,393.41,392.49,396.13,397.72,399.53,400.30,405.75,401.94,400.52,394.92,395.79,380.17,379.34,330.37,220.31,228.31,
2002-09-14 21:41:31.043000,L7,402.28,382.89,375.08,360.88,394.16,379.52,416.35,415.36,369.62,366.63,391.50,408.52,417.96,415.51,412.69,395.88,396.73,397.71,400.14,402.19,396.45,361.29,369.39,369.49,378.82,387.73,367.77,386.95,390.44,389.46,382.66,387.51,386.18,387.07,383.49,371.14,317.91,373.15,347.16,371.51,378.09,386.93,385.99,315.58,387.40,390.78,385.52,389.30,383.27,390.25,383.35,384.59,388.38,387.54,393.70,397.55,394.76,408.01,402.48,403.49,399.35,399.39,407.06,411.77,408.32,408.95,420.15,430.13,419.06,416.61,412.46,409.45,412.67,391.34,395.55,337.67,375.69,288.53,264.79
2002-11-01 21:41:30.201000,L7,343.27,351.91,339.48,341.97,341.73,335.45,333.82,344.10,345.89,347.85,348.13,455.26,461.13,469.08,448.41,465.16,379.29,510.17,380.01,388.91,520.90,476.82,340.74,353.77,350.73,356.10,354.22,354.28,359.44,362.35,357.98,360.86,396.46,402.59,434.25,339.56,307.92,248.88,250.88,251.56,251.60,252.44,251.23,236.28,235.78,348.25,386.40,388.55,404.16,414.00,380.06,380.95,374.43,378.96,435.69,495.12,518.40,446.76,477.53,497.74,442.41,451.36,496.10,481.00,495.07,460.17,451.40,453.10,458.33,467.59,503.22,488.38,490.58,473.66,518.48,446.41,223.44,209.55,
2003-01-20 21:42:09.421000,L7,425.35,424.47,416.97,474.76,495.75,412.07,425.86,418.47,426.99,423.14,414.51,444.66,451.27,468.26,450.69,437.68,438.03,456.26,465.02,443.89,437.72,406.39,414.22,421.29,450.83,429.61,510.90,481.75,477.32,444.15,452.95,452.63,447.93,430.18,412.64,413.07,416.06,426.08,433.74,306.64,313.47,292.18,296.72,296.36,427.63,438.50,434.65,433.64,428.06,422.90,422.33,424.70,417.57,421.75,431.63,437.02,434.99,442.89,441.46,437.97,438.76,432.62,444.11,440.90,449.55,448.23,450.37,450.08,456.70,453.99,452.67,444.63,449.79,430.90,431.65,357.19,315.04,319.23,433.72
2003-02-21 21:42:20.469000,L7,428.45,377.69,402.51,374.13,392.17,365.36,349.80,423.02,426.88,414.44,422.27,430.81,401.37,399.41,409.03,383.68,389.47,405.17,371.31,368.83,378.46,346.14,383.90,412.72,369.67,401.71,376.51,369.06,380.97,381.52,385.37,394.45,383.90,391.47,364.41,356.85,322.77,375.49,377.35,383.04,376.98,382.08,383.06,397.38,332.90,,453.42,522.28,537.49,531.13,,,,,492.09,480.55,484.12,,551.19,514.89,466.59,463.17,423.56,424.25,403.29,401.89,404.38,418.20,435.59,417.93,430.22,425.33,437.82,408.42,378.85,314.43,409.17,415.57,473.44
2003-04-10 21:42:26.045000,L7,328.89,344.36,334.72,346.06,329.03,331.76,336.63,337.10,346.83,356.10,346.18,388.44,393.10,377.53,384.00,383.61,367.39,379.39,358.59,356.59,377.80,353.63,336.49,367.32,365.38,383.96,374.57,388.06,393.20,400.51,401.84,391.64,399.05,362.05,329.42,249.55,234.91,236.36,252.61,249.20,250.75,250.39,252.92,232.76,391.46,369.88,375.09,373.81,372.69,381.40,373.60,377.57,376.82,374.98,384.21,392.21,392.38,391.35,401.45,384.43,391.99,392.46,398.39,386.38,394.05,392.34,397.40,397.31,395.81,404.03,402.54,401.21,397.66,373.93,366.69,334.59,216.43,,
2003-04-26 21:42:25.606000,L7,390.27,393.79,379.72,370.10,370.61,367.77,373.12,387.01,383.89,385.64,398.76,398.36,398.18,395.40,389.15,383.45,378.70,381.09,379.82,379.43,383.80,356.22,379.93,384.71,404.48,377.64,376.74,376.88,416.82,428.26,390.56,406.10,395.98,387.34,324.70,240.76,236.14,266.61,268.41,257.24,249.50,255.44,263.42,242.39,376.19,376.79,367.83,376.20,373.74,380.79,378.24,393.82,391.57,380.38,383.04,386.56,400.54,401.86,399.30,410.34,401.64,396.11,398.52,403.81,395.95,402.76,407.95,408.82,412.85,407.90,403.83,403.22,400.29,379.41,380.42,348.97,271.54,277.98,370.48
