dates,satname,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083
2001-06-03 22:07:16.736000,L7,,,,,,,,,,,,201.94,209.64,225.69,221.65,227.06,236.59,243.66,238.90,412.39,393.99,352.96,,,,352.49,331.47,327.69,328.20,313.65,,,,328.41,330.70,317.27,,,329.36,345.57,365.06,358.02,371.54,380.26,,,,448.26,424.31,436.69,,,,,,,,,,,251.28,251.48,228.00,,,,,,,416.65,393.29,377.12,419.24,401.62,,,,,,,,,,
2001-06-19 22:07:05.722000,L7,,,,,,,,,,,,,,,,391.77,380.24,385.33,402.94,396.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.49,412.22,390.95,377.66,360.70,,,323.03,348.44,362.02,,,,,,,
2001-08-22 22:06:23.463000,L7,230.43,230.44,232.76,230.13,222.24,229.67,228.19,221.20,226.84,218.93,195.56,232.14,232.30,238.86,235.37,240.98,250.08,260.57,274.39,272.21,256.09,239.25,222.11,222.51,209.88,217.78,197.33,295.32,353.94,353.79,369.29,355.95,375.25,405.15,399.76,197.12,192.41,191.97,203.61,216.70,230.59,228.36,237.59,211.99,239.98,248.38,244.34,299.88,312.78,319.75,301.36,321.48,299.79,293.42,296.05,310.33,291.29,298.50,302.02,270.84,282.31,286.39,283.72,270.62,278.38,274.36,310.80,286.60,313.99,280.76,278.31,254.27,232.93,226.46,212.56,212.15,204.42,198.02,194.84,221.08,416.21,344.41,307.82,457.44
2001-09-23 22:06:03.238000,L7,388.01,353.65,385.26,383.21,207.82,195.85,206.71,209.11,190.55,195.67,346.96,219.91,220.38,232.09,225.21,231.68,245.65,253.81,249.54,227.97,177.37,469.69,549.51,555.53,426.67,567.12,441.83,467.24,451.81,423.83,415.36,414.43,332.74,383.64,396.05,383.94,404.48,305.89,397.31,413.54,433.69,442.32,417.65,372.90,350.00,399.18,427.39,444.77,453.52,450.83,434.14,432.84,434.72,511.65,513.03,510.64,209.63,250.02,219.64,252.48,263.56,259.11,262.74,259.74,258.92,256.44,250.90,260.62,272.33,244.65,216.27,253.65,226.35,222.90,213.58,208.10,212.10,201.76,205.18,204.59,297.92,360.43,,196.54
2001-12-28 22:06:14.106000,L7,238.40,240.30,242.32,241.30,240.65,240.55,242.18,238.82,245.70,224.97,202.59,246.67,255.48,258.37,250.05,263.42,269.92,274.64,290.14,276.14,261.51,249.19,229.96,242.12,228.48,239.64,207.82,195.46,193.38,207.08,187.59,189.01,413.12,423.78,430.72,418.01,436.36,445.79,470.33,451.00,443.90,447.69,444.11,506.68,499.96,498.44,499.25,539.18,524.66,557.17,538.61,535.15,538.53,525.42,545.57,313.15,304.38,309.18,300.98,286.55,298.81,301.37,300.66,293.09,300.04,301.65,307.75,310.03,319.40,291.12,278.92,257.66,238.31,234.04,227.76,223.15,217.43,217.35,214.24,222.88,498.00,499.03,495.35,512.54
2002-02-14 22:06:29.522000,L7,391.19,272.14,,386.01,395.90,210.02,227.32,222.83,497.39,332.07,321.94,325.64,341.51,245.29,414.28,424.45,486.41,486.34,460.74,459.72,533.29,347.01,401.74,334.12,350.10,352.15,309.82,,,,308.32,326.93,278.73,272.07,,459.28,283.13,366.52,355.31,334.90,480.46,542.62,475.16,419.95,440.14,455.18,440.54,468.65,488.23,515.07,474.78,450.72,471.96,478.79,464.30,464.95,464.19,458.78,451.40,439.06,439.76,411.92,415.96,397.89,411.09,420.28,418.10,425.37,435.79,441.99,416.58,395.87,362.11,358.61,367.89,369.85,358.15,329.54,339.88,359.08,362.96,366.45,387.06,418.56
2002-03-18 22:06:22.131000,L7,234.32,237.74,239.31,229.89,232.91,236.60,231.38,229.97,220.88,221.91,213.11,237.38,231.32,245.40,246.10,244.72,377.82,420.51,406.10,416.84,403.06,446.28,469.48,474.54,466.82,448.20,438.80,416.56,421.75,430.61,423.93,420.15,408.66,411.24,413.48,412.84,411.93,406.19,191.58,205.34,207.22,218.62,233.33,198.89,220.14,227.75,241.86,246.06,305.54,303.24,273.84,286.39,291.67,257.92,249.48,291.03,289.36,261.82,283.78,269.61,276.00,272.07,278.29,269.42,277.46,276.95,279.45,282.45,299.37,274.53,252.79,240.53,222.20,212.97,199.64,199.49,441.56,441.53,314.74,471.85,515.68,347.25,188.65,230.09
2002-08-09 22:05:46.029000,L7,215.30,220.64,222.84,211.09,215.62,214.00,218.89,224.59,215.44,212.56,510.22,292.32,226.16,236.92,231.87,236.70,246.22,251.61,261.13,257.45,241.73,230.67,217.05,216.16,204.39,201.18,344.24,346.49,344.44,324.55,337.25,334.87,326.53,361.81,406.54,447.15,500.14,502.41,543.57,506.30,533.73,201.64,192.01,199.08,215.31,221.85,237.73,245.97,299.10,295.78,264.77,281.24,268.38,243.46,284.45,287.88,281.13,255.19,273.95,263.46,262.45,266.13,266.63,267.72,267.05,263.67,269.58,273.76,307.62,273.55,255.56,234.32,222.44,208.20,194.45,196.26,194.90,423.89,453.84,456.40,449.43,425.56,437.74,477.38
2003-05-08 22:06:20.773000,L7,346.13,377.03,419.43,351.00,417.60,470.42,450.66,516.80,359.69,459.21,,,437.79,375.19,265.72,233.55,245.35,253.28,260.11,259.39,406.19,404.77,436.87,458.99,422.44,319.55,314.29,530.78,505.95,501.31,501.30,417.84,361.93,,,,295.01,363.31,392.67,,,398.83,427.14,478.43,487.03,349.32,452.12,442.78,445.99,481.37,496.67,535.41,435.50,432.94,423.71,420.07,384.21,374.57,368.60,368.83,403.72,369.10,393.55,360.01,358.96,399.59,426.06,454.07,433.03,528.44,517.08,488.98,467.55,479.12,512.19,430.34,312.61,315.88,304.29,319.82,353.79,376.83,386.97,394.17
2003-09-05 21:54:56.069000,L5,223.97,225.09,229.25,226.99,219.05,220.01,228.56,221.50,228.54,201.19,209.06,224.81,237.43,238.01,237.24,232.00,244.95,253.32,263.74,258.67,240.62,229.97,215.36,207.99,196.63,191.52,186.25,,,,,,,,,,,,192.67,194.60,201.46,201.76,214.94,196.25,220.72,246.24,263.21,288.15,298.87,309.24,286.36,280.77,280.02,280.29,276.59,284.52,265.60,252.06,246.64,239.20,244.04,241.32,251.47,258.92,254.76,244.22,257.97,258.57,281.06,257.78,240.18,215.97,194.89,191.67,,,,,,,,,,
2003-12-26 21:56:18.593000,L5,211.05,221.68,224.01,219.29,214.91,216.68,216.87,213.50,213.34,,,211.71,227.72,229.79,233.05,228.13,243.94,245.27,250.04,243.98,223.03,218.35,209.03,205.00,198.10,192.78,,,,,,,,,,,,,,,,,,,201.88,215.21,225.54,269.43,262.02,296.30,262.07,248.73,252.12,225.31,216.89,220.80,256.26,255.26,244.82,243.74,264.20,260.07,269.14,262.87,258.27,262.01,266.48,257.21,264.53,246.98,224.41,208.04,187.32,203.22,186.45,,,,,,,,,
2004-05-18 21:58:14.785000,L5,235.55,229.73,231.67,231.15,222.16,222.05,231.77,224.57,229.94,,,225.81,243.38,239.37,238.85,238.86,252.22,263.58,286.06,284.02,261.46,244.92,215.63,203.55,185.23,,,,,,,,,,,,,,187.90,204.59,207.86,215.23,237.50,227.99,230.27,202.49,203.17,241.15,261.33,303.97,248.34,249.00,250.42,215.12,206.64,229.67,262.75,261.60,259.10,261.03,277.89,272.40,290.83,280.75,289.69,251.49,264.56,290.23,309.79,286.52,236.38,258.94,230.84,220.54,195.22,203.67,193.45,,,,,,,
2004-06-19 21:59:10.521000,L5,320.71,302.00,296.86,295.76,290.00,293.32,302.08,281.89,291.02,296.67,281.12,293.27,303.11,310.63,322.75,332.12,318.00,348.95,382.82,359.60,346.15,336.52,317.02,319.76,320.42,318.13,307.59,360.59,284.40,277.60,266.01,262.49,286.59,257.40,266.57,280.46,272.49,284.51,296.61,283.24,311.34,313.14,316.20,526.35,394.69,355.18,,,,,,,,,,,,,447.37,387.60,,412.03,439.76,358.34,413.67,371.48,349.55,355.13,410.60,341.57,325.41,359.47,284.14,272.56,257.20,255.61,242.42,251.08,234.22,266.53,278.61,291.67,308.68,320.03
2004-08-22 22:00:48.706000,L5,,,,,,,,,,,,219.49,242.64,235.89,223.27,225.79,242.68,263.65,265.96,250.76,237.77,220.15,180.62,,,,,,,,,,,,,,,,,,,198.35,230.82,226.91,235.70,243.92,236.05,279.09,283.24,213.17,,,,,,,,280.50,285.07,292.09,296.35,298.97,302.02,298.65,287.90,264.09,296.74,291.95,295.00,284.22,254.86,239.88,230.79,223.75,211.53,201.27,199.19,,,,,,,
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.39,264.73,313.27,328.13,313.13,300.46,301.19,282.69,241.87,245.20,270.53,277.63,277.17,266.95,272.55,274.21,273.95,285.41,277.07,294.80,290.91,302.65,303.16,283.43,251.00,234.72,222.26,210.59,199.72,189.74,200.07,204.56,209.07,212.84,203.53,,,
2005-02-14 22:04:09.465000,L5,216.85,223.10,229.38,228.52,218.75,191.54,225.54,225.75,229.91,,,206.27,209.95,234.85,232.57,232.08,257.98,265.79,277.90,270.92,252.09,240.90,221.80,215.28,213.27,212.25,196.03,,,,,,,,,,,,,,,,,181.58,232.30,241.78,221.68,283.19,298.38,304.54,,,,,189.28,216.78,248.25,262.29,246.19,251.53,269.23,262.74,245.08,235.23,207.96,,,,,,,,,,,,,,,,,,,
2005-04-03 22:04:40.528000,L5,210.98,211.29,212.73,203.00,207.68,209.48,211.87,211.32,207.57,,,215.53,223.58,224.56,227.44,223.94,241.46,244.71,251.10,242.04,222.49,214.73,208.91,202.04,185.60,,,,,,,,,,,,,,,,,,213.31,189.70,202.86,208.31,219.63,271.23,285.75,295.62,270.44,266.49,262.08,237.39,223.31,235.04,263.39,251.01,248.77,248.35,251.75,262.06,265.30,263.76,260.50,263.34,271.61,267.22,268.39,246.21,230.95,209.33,194.83,185.69,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,209.77,210.03,210.12,203.93,206.17,208.16,206.26,207.51,211.74,,,213.92,224.54,220.84,228.23,222.59,239.82,242.19,248.72,241.35,220.13,213.41,209.44,201.53,187.66,,,,,,,,,,,,,,,,,,,182.63,201.89,208.88,218.64,265.50,270.83,294.50,256.20,254.17,262.86,227.66,234.88,256.16,256.26,257.19,257.86,246.99,257.68,250.48,253.61,255.11,248.28,252.39,258.53,264.37,267.88,249.10,224.61,211.38,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,215.61,218.20,220.49,219.94,207.68,213.10,220.83,213.77,219.82,,,214.60,228.10,225.71,226.74,219.62,236.36,243.54,255.38,249.57,228.72,221.71,212.49,202.73,197.04,198.08,,,,,,,,,,,,,,,,189.06,219.24,193.14,205.05,231.95,231.85,279.82,286.99,300.83,275.19,270.22,269.57,264.31,265.96,255.48,261.69,251.08,251.47,250.13,266.30,259.02,264.41,256.45,254.77,252.91,259.15,268.73,275.84,259.33,232.51,218.19,199.55,196.59,190.12,,,,,,,,,
2005-07-08 22:05:15.796000,L5,230.61,220.06,228.13,229.16,221.18,227.93,232.45,224.97,234.94,209.57,,229.11,239.03,239.60,245.43,238.25,245.42,258.54,264.69,262.26,247.02,231.46,223.80,218.01,215.85,214.32,196.89,181.88,,,,,,,,,,,,,,188.24,228.00,211.40,229.60,249.41,260.91,259.13,261.41,295.32,232.48,245.81,264.42,273.91,284.76,281.38,279.28,273.89,269.62,261.52,279.10,277.43,277.94,267.21,276.16,260.28,269.29,283.62,295.82,267.05,243.61,224.98,216.38,208.14,198.39,187.21,,,,,,,,
2005-08-25 22:05:41.221000,L5,227.49,219.86,219.16,231.18,223.25,226.96,230.91,227.43,233.52,217.79,207.84,228.73,237.20,239.01,235.23,230.45,244.65,263.59,270.01,261.47,230.18,213.25,207.62,189.71,,,,,,,,,,,,,,,,184.90,191.63,209.25,226.86,203.66,199.02,173.61,,,,302.29,294.32,286.11,283.49,263.06,272.31,277.81,278.33,267.30,202.09,216.25,,,,,,220.61,218.50,231.57,253.95,224.77,206.63,195.83,,,,,,,,,,,,
2005-09-26 22:05:42.687000,L5,214.37,211.65,195.87,204.07,202.95,203.95,203.38,207.92,209.49,,,197.36,220.62,218.68,224.52,220.61,237.20,234.47,244.77,229.18,202.74,214.10,197.49,189.45,189.83,,,,,,,,,,,,,,,,,,,,196.07,204.79,217.03,259.73,264.80,282.00,245.80,237.83,249.02,229.60,226.00,243.65,252.25,249.55,255.25,240.94,257.01,258.36,261.38,253.46,251.58,244.41,247.93,251.87,263.96,239.23,217.20,205.05,189.87,193.68,,,,,,,,,,
2005-11-13 22:05:57.059000,L5,,,,,,,,,,,,198.04,230.46,236.26,238.86,238.36,250.56,256.11,238.15,250.33,227.55,228.69,215.41,203.85,,,,,,,,,,,,,,,,,,180.60,214.18,187.52,209.14,213.60,226.04,269.06,275.45,295.04,261.94,249.86,258.74,236.66,255.16,268.23,272.60,266.62,257.33,253.84,266.61,248.76,227.70,198.94,,,,,,258.43,244.36,225.86,209.76,212.34,193.02,,,,,,,,,
2006-02-17 22:08:11.136000,L5,,,,,,,,,,,,218.34,230.41,232.80,235.69,237.10,247.63,250.38,260.26,246.25,232.65,228.82,213.19,213.06,200.00,193.55,,,,,,,,,,,,,,,,186.19,221.44,194.81,203.17,214.34,224.57,267.84,272.59,295.68,264.82,257.34,258.69,236.60,235.55,255.74,273.17,267.41,260.68,256.23,263.19,259.26,264.13,264.60,257.17,258.16,265.06,267.28,284.52,257.86,241.91,228.53,194.76,189.23,,,,,,,,,,
2006-04-06 22:09:08.139000,L5,216.76,216.57,213.10,210.97,211.46,211.21,206.83,206.06,212.96,,,213.54,231.31,230.95,230.78,232.15,246.89,251.20,258.22,250.63,235.81,229.08,215.13,210.76,200.85,196.70,,,,,,,,,,,,,,,,188.19,218.93,206.20,215.74,220.20,225.91,265.23,282.63,294.09,262.92,250.79,255.18,222.91,214.42,233.86,244.75,241.49,207.11,220.56,240.23,229.76,235.91,241.63,252.07,257.48,258.54,265.26,276.69,257.01,228.00,200.33,,,,,,,,,,,,
2006-05-08 22:09:38.251000,L5,215.90,215.31,216.47,217.46,213.49,216.53,214.85,213.29,215.66,,189.62,212.86,228.02,228.87,227.59,225.33,238.83,244.79,256.09,250.17,231.33,223.93,210.72,206.79,196.67,193.62,,,,,,,,,,,,,,,,183.81,213.56,189.10,206.18,217.93,222.00,270.47,277.73,291.33,268.52,257.78,258.46,236.64,246.12,253.15,258.26,245.14,234.24,220.40,230.08,,,,,,217.03,228.35,253.93,226.58,217.25,211.28,190.39,194.56,,,,,,,,,,
2006-08-12 22:10:59.603000,L5,226.18,224.25,227.94,222.58,221.24,223.52,226.76,222.52,225.08,,,223.02,235.32,235.00,231.28,234.83,246.76,253.46,265.52,255.67,240.89,227.26,214.98,210.92,203.70,201.85,185.89,,,,,,,,,,,,,,,192.14,222.05,209.53,226.22,227.50,240.60,282.38,286.26,306.29,290.09,279.59,280.04,256.55,263.44,275.81,276.12,270.43,265.58,260.18,268.98,268.08,268.76,265.08,259.66,268.64,272.71,279.04,293.87,267.90,249.02,227.66,207.65,203.90,192.98,184.13,,,,,,,,
2006-09-13 22:11:23.474000,L5,237.43,237.37,234.66,236.89,229.70,232.98,234.03,227.59,230.54,218.07,225.23,236.43,,191.60,231.38,243.86,255.75,284.56,283.41,270.06,248.43,238.17,225.19,216.43,211.30,207.26,192.61,,,,,,,,,,,,,,,,,,,194.54,205.82,272.16,307.55,310.16,276.39,242.84,259.29,219.29,,,,,,,,,265.25,275.23,271.80,218.34,,,278.73,266.38,254.47,229.38,214.39,205.01,197.01,201.49,205.24,200.39,198.23,212.51,201.55,,,
2006-12-02 22:12:34.352000,L5,233.30,235.74,229.78,232.10,233.60,232.63,237.28,202.44,,,,239.76,242.16,244.72,243.33,256.13,259.92,267.54,272.32,265.67,256.90,246.65,233.75,243.66,211.25,214.96,194.15,,,,,,,,,,,,186.73,197.38,184.14,228.19,225.86,221.87,234.84,240.78,275.42,280.04,320.72,315.09,293.72,296.77,295.02,270.10,270.58,296.62,300.03,289.74,295.13,286.38,294.17,,,,,,,,,,,,,,,,,,,,,,,
2007-09-16 22:10:40.887000,L5,231.55,232.37,234.26,229.24,225.71,231.06,233.87,225.65,232.61,211.21,222.63,226.22,238.01,238.00,240.35,238.19,248.68,262.51,274.88,262.39,245.67,237.48,232.10,224.39,216.93,218.09,202.68,190.88,,,,,,,,,,,,190.10,200.01,208.83,226.74,215.98,238.50,241.95,255.88,299.17,306.22,321.17,296.28,290.49,286.63,287.81,277.12,276.99,291.27,287.35,277.40,275.44,278.16,278.90,278.77,276.26,261.34,261.31,271.15,277.36,286.67,265.62,247.13,232.97,217.26,208.23,200.79,192.10,,,,,,,,
2007-10-02 22:10:31.289000,L5,233.43,235.26,234.82,228.90,226.80,229.08,232.54,227.42,230.82,215.85,220.05,230.31,239.28,241.89,231.04,230.29,244.67,261.42,272.80,257.18,250.38,238.59,228.45,223.76,215.00,211.24,193.80,180.29,,,,,,,,,,191.65,193.89,198.04,204.02,209.27,230.33,220.76,233.87,241.97,249.43,280.04,297.93,307.63,292.29,281.48,279.93,274.32,286.04,288.11,289.10,284.50,285.02,277.23,279.36,267.08,268.43,271.53,264.38,269.08,269.00,275.96,292.30,274.63,255.07,236.62,220.08,213.27,196.96,187.49,,,,,,,,
2010-01-27 22:08:26.527000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.44,307.27,297.37,343.28,325.07,302.90,294.04,297.76,300.77,306.22,303.49,317.85,316.59,310.08,309.55,283.18,293.71,293.50,311.93,315.43,301.10,277.22,256.14,234.03,235.07,229.43,205.62,,,,,,,212.54,197.90
2010-02-12 22:08:30.110000,L5,220.55,226.96,223.40,221.54,221.40,219.57,219.31,215.49,219.82,,,217.56,230.93,231.53,240.69,235.56,246.78,248.57,264.38,247.75,238.53,231.07,216.91,217.10,208.72,202.29,187.12,,,,,,,,,,,,188.59,192.39,205.37,201.82,229.93,216.67,228.70,237.01,251.85,284.19,299.47,312.51,296.96,286.17,279.85,269.41,286.87,280.25,287.12,285.04,277.55,275.46,273.75,264.15,269.30,266.28,261.96,267.15,267.71,268.91,288.67,271.36,249.45,231.86,220.55,211.26,194.42,,,,,,,,,
