dates,satname,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006
2024-02-04 22:14:55.450000,L9,292.33,307.07,316.30,319.66,326.53,334.97,324.73
2024-02-12 22:14:41.937000,L8,289.47,305.82,314.95,314.30,323.42,329.03,323.20
2024-03-07 22:14:47.781000,L9,299.49,328.03,332.81,354.77,366.85,375.29,370.97
2024-04-16 22:14:07.010000,L8,,293.28,307.63,307.14,198.46,191.41,245.64
2024-04-24 22:14:13.960000,L9,204.61,336.19,319.10,320.31,329.55,334.51,326.03
2024-06-03 22:13:41.381000,L8,,,298.68,342.22,350.90,343.93,327.36
2024-06-11 22:13:53.980000,L9,,,,295.20,316.41,213.04,316.27
2024-06-19 22:13:49.014000,L8,,,277.38,295.04,320.84,324.27,321.37
2024-07-05 22:13:57.118000,L8,284.46,223.96,220.57,321.56,332.79,331.24,322.72
2024-08-06 22:14:09.174000,L8,,292.32,306.53,303.14,315.41,320.74,313.22
2024-08-30 22:14:23.037000,L9,290.39,314.29,325.62,322.81,330.19,345.69,335.82
2024-09-07 22:14:30.806000,L8,304.75,305.86,316.74,314.96,324.91,331.64,326.01
2024-09-23 22:14:30.418000,L8,336.86,350.84,355.84,346.15,359.88,366.55,361.65
2024-11-02 22:14:41.503000,L9,302.42,316.90,326.65,321.57,329.66,340.28,334.54
2024-11-10 22:14:37.391000,L8,295.52,310.20,318.55,317.52,325.84,336.78,331.21
2024-12-04 22:14:48.196000,L9,295.12,305.35,316.92,315.05,327.07,334.22,323.86
2025-01-05 22:14:42.782000,L9,284.68,278.50,184.58,306.65,277.64,281.34,310.80
2025-01-21 22:14:48.959000,L9,298.38,312.62,319.17,319.78,330.40,339.30,331.78
2025-04-03 22:14:16.015000,L8,300.72,310.81,316.58,314.65,326.91,336.45,325.61
2025-04-11 22:14:29.386000,L9,285.44,307.02,317.10,312.79,324.12,329.83,322.92
