dates,satname,nzd0355-0000,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0054,nzd0355-0055,nzd0355-0056,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0066,nzd0355-0067,nzd0355-0068,nzd0355-0069,nzd0355-0070,nzd0355-0071,nzd0355-0072,nzd0355-0073,nzd0355-0074,nzd0355-0075,nzd0355-0076,nzd0355-0077,nzd0355-0078,nzd0355-0079,nzd0355-0080,nzd0355-0081,nzd0355-0082,nzd0355-0083,nzd0355-0084,nzd0355-0096,nzd0355-0097,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101,nzd0355-0102,nzd0355-0085,nzd0355-0086,nzd0355-0087,nzd0355-0088,nzd0355-0089,nzd0355-0090,nzd0355-0091,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095
2001-08-08 21:56:12.984000,L7,447.88,343.15,,,,,,,,253.53,240.95,166.39,309.15,306.57,308.91,276.90,290.77,285.38,257.89,339.64,381.07,435.21,434.88,428.39,422.77,409.25,418.62,406.53,385.01,392.76,404.51,404.94,400.58,393.33,384.17,377.74,383.53,353.41,377.20,368.07,370.61,363.64,375.01,373.98,372.22,359.20,338.93,310.61,315.39,334.15,312.91,317.71,301.31,303.34,303.88,292.36,281.46,271.71,271.36,263.42,263.95,249.28,242.40,234.96,234.95,231.87,236.94,238.18,243.57,235.48,221.79,221.26,190.44,194.75,195.33,223.13,217.96,228.14,216.22,207.76,219.76,217.93,227.52,225.67,200.36,,,,,,,,,,,,,,,,,,
2001-08-24 21:56:00.447000,L7,358.21,372.36,362.91,349.99,367.39,358.35,357.34,357.62,349.34,351.24,381.49,335.22,362.03,365.52,339.63,345.72,330.24,318.76,311.35,300.53,308.76,303.28,307.80,291.35,285.96,302.38,289.00,291.65,306.84,272.61,265.33,246.28,238.45,256.44,251.48,236.36,238.84,260.48,257.47,272.04,257.74,223.66,226.44,170.51,193.00,211.49,214.43,230.13,207.47,209.03,226.45,209.25,215.77,168.03,162.93,,199.65,192.54,195.07,183.11,169.53,178.05,169.49,170.07,163.15,166.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-25 21:55:40.572000,L7,,,,,,,,,,,,,,,,,,522.13,514.21,508.64,509.57,509.50,502.93,502.50,497.55,497.65,495.63,482.56,474.89,465.65,454.98,447.89,442.89,429.91,429.22,426.35,412.30,405.88,399.62,404.62,406.24,399.30,390.74,384.41,389.21,377.31,373.06,363.46,358.30,354.10,347.49,353.89,347.10,349.13,346.82,335.35,321.82,313.91,309.10,301.87,300.96,296.90,285.93,279.39,287.10,306.87,291.57,300.82,303.46,295.94,280.78,268.66,265.13,255.62,260.15,261.80,269.80,292.85,305.01,306.08,284.12,323.80,297.11,293.82,285.18,227.42,201.51,184.48,192.47,188.85,163.09,176.57,228.63,216.93,222.65,223.71,231.97,218.88,217.00,172.71,200.06,193.06,205.71
2001-10-11 21:55:21.747000,L7,310.34,328.55,347.66,454.02,482.84,474.95,477.11,449.24,494.63,471.30,430.80,449.96,510.01,477.16,440.65,402.67,344.63,383.81,463.34,402.43,351.73,340.85,336.66,328.59,334.22,187.39,,,331.40,376.68,,388.50,309.29,312.74,330.29,335.49,357.57,403.06,410.40,399.63,362.20,326.34,194.33,247.16,377.97,506.88,422.41,537.63,471.84,330.78,343.24,348.91,272.39,241.48,235.76,220.68,215.46,193.20,198.22,187.55,167.48,173.00,170.03,165.44,156.82,167.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-30 21:55:49.115000,L7,,,,,,,,,,,,,,,528.71,527.44,516.07,507.07,498.89,502.08,485.62,478.78,476.38,482.91,481.04,476.53,468.93,455.97,457.46,444.43,441.97,437.44,424.46,419.95,410.04,405.40,425.15,409.96,411.91,408.53,416.65,396.82,397.35,389.85,373.71,366.22,357.35,355.92,345.73,342.65,352.33,378.00,349.87,358.16,342.40,342.54,331.28,314.43,299.29,300.98,287.10,285.08,284.76,273.88,279.87,274.42,276.75,286.31,280.37,275.88,262.83,258.90,237.78,231.55,229.69,242.15,235.60,242.44,259.20,253.63,254.48,255.19,259.74,256.37,233.17,,,,,,,,196.59,185.42,186.78,186.88,175.44,,,,,,
2002-01-15 21:55:59.365000,L7,333.23,340.83,341.91,343.75,338.70,320.58,326.49,320.22,321.35,336.95,335.94,329.39,325.22,345.10,334.51,331.48,323.69,307.13,306.45,287.04,285.73,292.28,289.15,281.61,302.74,287.65,281.67,294.82,290.06,292.71,265.37,260.10,266.13,273.08,258.30,258.58,253.93,246.90,264.39,284.03,268.48,236.73,250.49,223.20,258.86,250.44,236.65,242.97,229.02,268.85,258.97,208.15,219.55,225.58,222.38,200.86,158.47,212.75,217.17,210.94,183.71,204.16,183.97,186.70,193.50,192.61,181.44,189.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,455.49,529.37,,,,,524.72,515.01,502.85,504.36,500.03,482.62,481.80,474.40,470.99,459.33,454.39,445.93,443.39,431.16,435.53,406.42,405.95,411.60,408.47,406.51,407.54,396.18,404.72,398.79,389.46,391.34,381.83,372.75,366.97,360.36,353.57,346.83,325.90,352.13,348.52,335.71,322.76,319.14,317.74,316.10,313.87,302.62,296.54,294.44,288.30,287.93,279.54,286.81,280.52,266.05,256.70,255.26,253.02,250.25,241.45,238.81,226.03,221.92,219.28,225.96,229.22,232.26,230.14,234.87,218.46,198.27,182.78,175.70,195.10,184.87,191.73,194.43,198.67,198.07,208.11,220.35,219.28,212.80,193.78,,,,,,,,,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,434.08,469.68,453.94,474.81,486.67,501.72,503.71,500.11,487.72,471.61,465.17,448.95,434.02,419.80,406.56,403.81,390.27,404.80,395.40,366.73,346.21,343.30,327.90,314.02,330.65,342.41,338.47,312.34,312.58,266.83,281.88,256.79,261.32,278.00,301.74,292.12,246.78,264.59,272.52,255.81,265.44,274.55,251.77,248.05,272.38,265.84,252.41,301.21,293.94,241.65,176.24,210.72,221.12,204.06,,,,203.88,195.54,184.24,188.52,182.45,207.42,219.88,185.19,222.28,188.01,195.99,207.06,196.51,202.19,198.91,,,,,,,,190.01,208.59,220.98,208.97,221.83,174.61,,,,,,,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.18,480.53,479.97,457.12,453.65,444.15,436.56,430.69,426.53,439.97,420.77,413.09,414.01,421.78,402.66,409.08,402.75,388.97,382.14,370.02,365.79,362.02,352.60,362.11,365.76,362.62,364.61,350.69,333.14,320.14,319.01,308.64,301.63,297.25,284.00,285.03,282.84,283.88,277.44,284.10,281.55,306.21,279.75,266.24,245.71,233.28,234.23,233.42,245.61,262.25,253.56,259.75,257.84,262.73,260.54,288.11,258.55,250.14,217.81,207.57,215.96,194.96,155.89,170.46,190.70,184.70,186.43,192.64,199.04,191.59,171.60,174.18,,,181.73
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,,,,,530.89,536.34,524.03,510.55,516.04,520.68,515.93,493.11,498.98,493.32,474.01,483.45,466.24,461.32,456.94,467.80,449.74,439.73,430.95,440.81,426.87,416.23,407.34,430.83,411.33,398.94,397.48,394.07,389.06,382.76,372.95,362.44,361.53,354.59,343.31,343.72,342.35,350.46,333.67,371.74,378.34,329.79,331.81,304.40,305.79,290.73,299.52,283.24,282.78,278.72,266.52,264.79,264.41,271.43,270.74,264.78,273.17,241.97,233.52,231.89,246.36,235.53,221.20,236.02,246.92,242.28,241.66,244.95,245.76,242.91,222.13,,,,,,,,168.71,166.04,170.05,171.31,163.17,168.45,,,,,
