dates,satname,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006
2018-10-18 22:05:53.709000,L8,272.96,306.70,,274.96,297.08,282.39,270.09,,,,
2019-01-22 22:05:50.255000,L8,,305.24,,,,,,,,,
2019-01-29 22:11:59.392000,L8,267.86,339.91,,280.44,302.31,279.50,267.83,,,,298.12
2019-02-07 22:05:47.667000,L8,280.48,303.74,213.51,238.11,288.71,203.56,279.46,,,,
2019-02-14 22:11:33.473000,L8,282.27,305.06,220.78,,304.79,248.54,286.14,,,,
2019-03-02 22:11:29.304000,L8,281.12,292.46,240.07,,301.05,248.43,284.83,,,,
2019-04-03 22:11:44.613000,L8,,334.50,,,,,,,,,
2019-04-12 22:05:30.743000,L8,,303.11,,,,,,,,,
2019-04-19 22:11:14.619000,L8,284.35,310.44,,,304.42,278.10,284.52,,,,
2019-05-14 22:05:36.265000,L8,,311.10,,,,,,,,,
2019-08-18 22:06:11.235000,L8,,311.87,,283.80,290.22,,,,,,
2019-10-21 22:06:25.884000,L8,,306.17,,,,,,,,,
2019-11-06 22:06:24.678000,L8,282.94,314.47,225.83,287.99,306.09,282.09,281.83,,,,272.11
2019-11-22 22:06:21.092000,L8,,302.53,,,,,,,,,
2019-11-29 22:12:32.100000,L8,,181.92,,,,,,,,,
2020-01-16 22:11:59.041000,L8,291.92,306.58,216.40,242.99,304.51,248.95,295.95,,,,
2020-01-25 22:06:09.569000,L8,,265.71,,,,,,,,,
2020-02-01 22:12:17.731000,L8,298.07,342.08,,300.78,304.99,297.20,278.94,,,,329.79
2020-02-10 22:06:04.888000,L8,285.28,308.33,,,296.36,244.91,286.28,,,,
2020-09-21 22:06:18.848000,L8,286.18,313.50,276.63,303.65,297.25,286.57,222.47,,,,277.92
2020-12-01 22:12:33.941000,L8,248.03,,,286.00,294.07,274.72,258.55,,,,286.56
2020-12-26 22:06:20.557000,L8,,288.97,,,,,,,,,
2021-01-11 22:06:14.248000,L8,,286.19,,,,,,,,,
2021-02-03 22:11:56.237000,L8,284.90,307.47,195.32,,301.65,248.53,287.06,,,,
2021-02-12 22:06:07.348000,L8,289.77,309.63,234.89,290.08,306.19,291.83,292.57,,216.71,213.38,
2021-02-19 22:11:51.945000,L8,283.80,304.85,226.44,279.34,295.45,294.94,283.17,,,,
2021-03-23 22:12:01.286000,L8,199.07,199.44,,287.07,298.11,292.97,226.72,,,,
2021-04-01 22:05:48.357000,L8,203.22,303.66,,284.14,288.82,243.83,,,,,
2021-05-03 22:05:32.764000,L8,,303.74,,,,,,,,,
2021-05-26 22:11:31.065000,L8,,299.24,,,,,,,,,
2021-06-11 22:11:38.046000,L8,,304.02,,,,,,,,,
2021-07-13 22:11:43.513000,L8,,297.19,,,,,,,,,
2021-11-18 22:12:08.776000,L8,230.98,304.77,,,305.10,216.88,236.14,,,,
2022-01-21 22:11:59.917000,L8,298.32,309.77,298.04,290.34,311.59,302.28,302.21,,321.31,214.79,289.59
