dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
2001-04-27 21:51:07.792000,L7,294.66,307.62,350.43,354.37,350.41,354.32,355.33,368.89,357.16,376.26,437.07,435.27,373.98,361.31,337.77,335.93,336.16,345.90,347.86,345.07,344.69,343.38,355.32
2001-05-13 21:50:33.259000,L7,279.96,288.00,301.56,308.57,312.36,341.04,337.34,306.51,310.94,312.70,343.95,340.91,320.32,311.66,314.61,316.39,335.02,347.76,326.35,330.64,342.74,326.50,350.35
2001-05-22 21:44:42.575000,L7,360.45,497.82,463.14,444.86,418.08,407.45,,,,,511.80,495.11,398.43,420.49,424.36,360.46,369.29,374.91,382.34,375.19,383.53,378.12,385.55
2001-06-14 21:50:38.006000,L7,332.34,353.93,357.10,363.17,364.25,357.74,385.03,402.00,474.47,370.86,400.62,371.39,462.60,404.36,349.35,342.65,344.60,360.20,349.83,355.44,349.55,348.80,360.37
2001-07-25 21:44:06.674000,L7,,,,,236.37,218.57,239.92,277.01,218.14,249.66,233.24,275.36,279.73,267.25,218.29,212.62,205.92,229.51,250.32,278.06,292.86,292.07,331.69
2001-09-18 21:49:05.242000,L7,369.33,354.31,364.62,523.04,516.62,493.59,473.42,469.51,492.70,494.55,524.73,496.05,486.97,457.20,400.52,383.63,378.82,383.21,382.94,374.76,381.09,378.22,381.22
2001-09-18 21:49:29.215000,L7,370.32,354.76,363.96,525.89,520.90,497.80,476.49,474.70,499.24,500.17,527.07,496.16,485.22,455.91,396.56,377.86,379.07,385.05,382.44,377.39,381.61,380.62,384.46
2001-10-04 21:48:54.017000,L7,360.95,353.88,469.53,468.53,462.95,461.54,444.66,,472.74,501.86,517.79,477.15,504.86,481.89,457.86,369.47,378.31,386.57,388.17,390.83,387.26,382.13,390.14
2001-10-04 21:49:17.977000,L7,360.92,476.09,464.70,465.70,461.31,460.52,442.64,,456.05,496.50,517.79,481.54,504.55,481.85,458.42,368.50,378.26,387.56,387.94,392.41,387.99,382.73,393.75
2002-02-25 21:49:35.857000,L7,329.83,350.13,355.97,351.93,352.68,348.89,359.63,366.12,369.28,365.85,357.07,356.64,359.43,357.40,384.77,,385.50,385.99,389.04,369.84,370.66,387.79,387.77
2002-03-06 21:43:47.645000,L7,314.03,320.52,334.20,339.49,343.54,348.71,341.33,349.40,349.18,353.33,362.07,348.79,342.55,344.78,335.89,336.70,345.33,354.83,351.65,356.98,346.51,347.34,357.63
2002-05-09 21:43:40.721000,L7,342.69,345.85,341.53,503.52,462.88,508.87,494.36,457.40,356.79,362.95,357.43,358.81,360.79,356.79,359.49,363.32,362.64,376.54,365.29,365.80,352.66,357.06,361.48
2002-07-19 21:49:21.346000,L7,406.23,496.56,474.01,449.36,,,533.10,505.22,431.87,433.90,432.49,443.61,460.95,436.72,410.44,488.94,442.51,420.26,388.05,392.85,374.18,402.73,411.01
2002-08-20 21:48:46.449000,L7,348.46,359.54,360.29,356.92,354.66,345.11,346.54,354.73,357.09,384.80,362.53,357.05,357.15,359.37,391.75,473.59,366.31,378.96,377.61,371.54,358.35,370.31,402.72
2002-09-05 21:48:38.182000,L7,329.54,331.51,336.45,326.38,341.99,328.35,323.46,328.08,329.59,338.30,334.61,342.40,345.92,335.32,330.70,328.72,345.32,357.29,348.29,353.41,347.23,350.93,361.62
2002-09-14 21:42:42.988000,L7,369.63,404.57,,,,,525.77,417.24,388.60,396.42,390.23,422.75,444.09,419.09,351.01,351.42,353.47,369.01,434.02,382.57,369.94,373.41,375.19
2002-10-16 21:42:36.617000,L7,414.91,,,,514.14,503.98,479.29,479.43,493.89,470.34,397.56,388.43,451.16,447.50,453.74,397.86,393.83,396.89,383.73,386.05,366.91,374.65,384.36
2002-10-23 21:48:27.128000,L7,410.60,,,498.44,486.01,470.64,405.71,455.93,460.26,396.57,385.56,403.20,385.40,376.34,367.70,367.52,377.90,388.51,406.42,389.52,378.65,386.05,405.06
2002-12-10 21:48:53.163000,L7,350.28,465.78,415.30,409.32,394.03,376.40,377.33,361.50,361.82,339.05,332.76,344.70,351.21,346.25,336.60,337.58,343.41,354.52,352.48,352.32,346.59,348.58,362.13
2002-12-26 21:48:59.976000,L7,475.75,432.37,406.93,400.17,421.33,440.05,444.98,425.97,402.80,387.33,379.92,373.61,383.84,375.33,365.02,370.24,368.19,394.86,398.55,381.66,377.46,377.09,386.93
2003-01-27 21:49:09.075000,L7,422.71,390.97,486.67,513.45,498.78,398.56,414.24,449.30,459.62,467.99,349.36,354.61,357.29,353.77,350.71,352.79,365.48,364.27,362.77,363.03,354.31,362.58,373.86
2003-03-16 21:49:22.109000,L7,401.23,382.49,360.20,358.84,357.15,354.75,349.43,356.83,353.59,353.37,361.36,352.42,358.69,364.64,380.53,395.75,365.52,382.86,405.59,377.42,383.11,423.96,405.71
2003-05-03 21:49:25.094000,L7,456.96,406.41,390.01,408.86,428.75,454.54,446.96,460.11,440.68,446.49,433.15,432.26,417.33,414.71,375.02,368.05,377.72,399.79,395.53,384.57,375.12,379.75,377.67
2003-07-23 21:31:26.274000,L5,369.36,384.06,372.91,366.94,373.40,361.33,359.24,362.41,359.05,359.01,354.75,362.64,366.27,366.66,372.20,399.98,379.17,401.49,386.31,393.45,373.41,386.43,385.72
