dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2004-05-04 21:46:16.049000,L5,267.20,271.08,233.73,273.05,271.32,247.28,,,,,,,,,
2004-05-20 21:46:20.465000,L5,301.67,296.57,286.86,295.68,289.30,278.46,280.33,280.10,285.50,274.31,279.14,285.19,231.87,231.26,
2004-05-20 21:46:44.438000,L5,,,,215.10,259.18,237.94,230.46,234.78,260.38,214.40,240.86,,,,
2004-07-07 21:47:45.207000,L5,301.90,294.29,281.65,289.33,288.96,275.11,281.90,282.30,285.00,275.91,278.63,286.98,232.84,238.39,
2004-07-07 21:48:09.180000,L5,277.65,266.14,222.69,253.55,267.40,248.17,247.78,257.16,264.88,237.05,251.92,,,,
2004-07-23 21:48:09.192000,L5,308.99,297.51,296.00,296.57,291.20,282.92,281.74,286.55,287.75,279.37,279.89,283.73,239.62,238.02,
2004-07-23 21:48:33.165000,L5,273.66,275.00,242.62,270.19,270.35,255.10,253.18,253.04,266.67,245.85,247.66,259.42,203.30,,
2004-09-25 21:49:43.196000,L5,,,,261.01,259.22,254.96,238.29,246.15,262.65,243.39,249.43,256.56,186.27,,
2004-09-25 21:50:07.312000,L5,313.33,302.17,300.15,302.47,294.56,291.57,294.21,291.65,296.58,286.02,291.08,297.76,244.23,244.05,258.20
2005-01-15 21:51:45.464000,L5,338.51,329.35,330.30,324.06,309.71,310.09,306.16,312.09,315.92,308.16,307.80,312.23,315.78,310.33,325.89
2005-01-15 21:52:09.437000,L5,339.94,331.14,332.13,324.30,311.78,311.96,306.10,312.65,317.15,309.41,309.47,313.39,317.22,313.31,325.68
2005-02-16 21:52:13.954000,L5,,,,,,241.97,227.54,220.99,255.15,225.20,234.81,237.07,,,
2005-02-16 21:52:37.927000,L5,307.86,295.42,289.52,290.75,294.63,290.66,276.21,279.77,283.06,270.78,274.49,276.29,240.30,230.84,257.86
