dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
2001-04-20 21:43:46.702000,L7,394.58,393.73,406.22,403.15,366.73,386.68,369.00,404.24,422.77,410.82,385.54,392.86,437.62,442.39,400.85,429.44,335.60,331.84,333.57,332.98,337.69,385.84,388.42,386.92,431.10,409.87,400.38,390.16,432.82,408.72,411.69,391.44,343.76,343.39,400.56,384.12,337.45,330.06,327.17,324.84,311.78,283.14,213.97,287.59,279.33,279.20,323.41,318.21,322.56,320.96,322.42,333.26,327.24,309.17,286.82,305.92,282.77,342.29,246.64,298.13
2001-06-07 21:43:18.779000,L7,261.39,330.49,,,507.31,438.61,344.27,283.41,268.01,275.01,290.10,280.24,321.93,338.91,443.52,,497.02,500.08,518.60,352.13,334.84,255.40,258.72,471.82,533.51,340.68,336.69,338.42,335.56,382.65,384.11,345.46,453.00,423.31,371.78,303.11,259.89,354.90,447.01,551.86,424.45,407.03,426.36,,,,,,,,,,,,,,,,,
2001-06-30 21:49:12.248000,L7,374.19,361.84,348.07,336.53,325.51,336.23,315.70,351.24,335.47,342.57,363.86,357.07,361.85,360.25,379.16,388.08,371.14,346.44,352.90,356.63,357.14,361.74,346.57,350.08,349.84,367.07,358.41,364.57,362.28,370.89,365.54,364.48,362.91,365.62,354.00,359.97,363.66,348.85,353.27,338.49,328.98,319.30,237.96,302.01,309.93,299.03,304.14,310.39,309.75,308.41,321.42,338.57,318.86,303.39,290.50,314.20,285.94,345.56,346.35,366.42
2001-07-25 21:42:54.824000,L7,367.42,359.09,343.51,336.34,327.55,322.27,318.78,333.14,334.01,336.92,336.44,345.02,347.74,369.21,365.58,362.68,355.91,347.25,348.48,345.77,350.96,351.90,349.96,356.43,359.91,356.17,362.46,360.70,363.03,362.67,365.71,360.87,361.06,355.75,353.69,352.21,350.13,345.58,341.07,337.36,330.18,309.78,204.84,297.17,305.23,253.17,333.25,327.34,329.06,318.79,326.93,335.87,331.59,286.84,271.65,277.96,279.16,335.11,349.07,372.56
2001-08-10 21:42:36.562000,L7,270.04,286.02,252.18,240.90,257.71,267.83,263.39,270.89,253.80,272.17,279.81,246.93,245.15,292.49,290.94,282.30,289.84,272.79,271.22,282.70,281.75,287.22,291.32,290.41,234.71,226.94,198.16,299.67,203.86,312.20,312.52,304.97,294.33,295.87,292.65,290.75,289.15,286.11,286.63,289.77,278.31,209.77,,,,,,,237.72,247.58,259.21,231.36,,,,,,,,
2001-08-26 21:42:25.671000,L7,353.38,347.11,314.62,301.61,308.30,313.99,310.69,317.01,316.56,323.91,333.23,338.75,340.63,355.75,359.38,346.31,342.54,344.79,339.70,338.42,343.19,340.68,346.25,341.53,347.29,349.68,352.54,348.99,396.42,358.42,360.63,351.66,358.37,355.69,347.81,341.34,342.17,380.44,338.66,377.38,326.99,297.50,224.36,293.61,290.44,299.52,337.81,360.43,335.53,324.02,334.95,337.95,329.61,312.90,276.77,297.05,286.78,347.81,293.04,322.24
2001-09-02 21:48:29.341000,L7,,513.27,439.37,408.58,403.35,366.30,380.75,401.22,365.92,369.96,365.70,381.33,359.47,374.71,367.11,362.70,356.20,354.56,358.90,365.02,361.91,357.49,346.78,347.33,357.33,355.03,355.14,352.71,364.78,365.36,365.16,361.76,349.76,351.65,344.90,347.12,342.75,340.28,335.79,332.37,323.97,304.31,249.41,297.34,299.91,306.48,339.95,327.99,329.36,326.22,336.25,337.97,324.45,297.86,276.10,279.79,278.08,330.33,328.44,276.63
2001-09-18 21:48:17.356000,L7,398.65,404.03,398.06,407.18,388.22,402.22,398.75,407.29,411.98,424.76,423.31,423.52,425.12,430.32,439.84,432.16,430.26,429.59,423.80,414.55,431.86,432.64,448.54,489.09,510.51,526.62,473.97,465.71,444.18,465.28,496.11,498.55,446.21,464.66,492.29,467.24,508.76,457.36,434.34,417.71,396.68,387.10,373.33,369.72,371.85,380.68,388.37,356.44,331.48,322.48,328.02,337.12,331.32,341.40,348.70,357.48,387.40,408.61,409.28,419.48
2001-09-27 21:42:05.338000,L7,409.02,412.12,402.62,420.65,417.04,450.67,417.48,428.70,461.40,446.05,441.38,430.06,439.59,430.37,440.66,436.53,432.24,429.72,435.00,438.17,435.46,440.66,435.56,440.96,425.88,435.52,442.52,436.77,441.88,445.25,446.67,451.29,455.50,451.97,430.70,430.23,435.39,425.03,425.24,425.74,415.54,415.78,387.46,387.17,390.17,389.59,396.32,392.88,392.84,395.66,408.80,404.74,390.64,379.34,377.96,385.57,396.45,411.30,418.22,435.60
2001-10-13 21:41:51.963000,L7,415.20,426.51,398.49,408.12,413.91,424.15,544.30,,,,,539.68,505.81,485.80,441.27,456.06,433.87,425.02,425.20,426.18,419.02,422.78,420.33,430.60,432.14,428.89,435.52,435.10,431.93,426.15,428.61,428.92,423.97,424.88,415.49,410.50,405.70,406.31,398.96,399.86,383.41,378.05,372.25,374.39,396.60,396.80,401.50,392.02,390.86,380.66,390.60,399.79,387.26,381.86,381.28,388.86,397.04,418.66,431.93,445.51
