dates,satname,nzd0549-0000,nzd0549-0001,nzd0549-0002,nzd0549-0003,nzd0549-0004,nzd0549-0005,nzd0549-0006,nzd0549-0007,nzd0549-0008,nzd0549-0009,nzd0549-0010,nzd0549-0011,nzd0549-0012,nzd0549-0013,nzd0549-0014,nzd0549-0015,nzd0549-0017,nzd0549-0018,nzd0549-0019,nzd0549-0020,nzd0549-0021,nzd0549-0022,nzd0549-0023,nzd0549-0024,nzd0549-0025,nzd0549-0026,nzd0549-0027,nzd0549-0028,nzd0549-0029,nzd0549-0030,nzd0549-0031,nzd0549-0032,nzd0549-0033,nzd0549-0034,nzd0549-0035,nzd0549-0036,nzd0549-0037,nzd0549-0048,nzd0549-0049,nzd0549-0050,nzd0549-0051,nzd0549-0052,nzd0549-0053,nzd0549-0054,nzd0549-0055,nzd0549-0056,nzd0549-0057,nzd0549-0058,nzd0549-0059,nzd0549-0060,nzd0549-0061,nzd0549-0062,nzd0549-0063,nzd0549-0064,nzd0549-0069,nzd0549-0070,nzd0549-0071,nzd0549-0072,nzd0549-0073,nzd0549-0074,nzd0549-0079,nzd0549-0080,nzd0549-0081,nzd0549-0082,nzd0549-0083,nzd0549-0084,nzd0549-0085,nzd0549-0086,nzd0549-0101,nzd0549-0102,nzd0549-0103,nzd0549-0114,nzd0549-0115,nzd0549-0116,nzd0549-0118,nzd0549-0119,nzd0549-0120,nzd0549-0121,nzd0549-0122,nzd0549-0123,nzd0549-0124,nzd0549-0125,nzd0549-0126,nzd0549-0127,nzd0549-0128,nzd0549-0129,nzd0549-0130,nzd0549-0131,nzd0549-0132,nzd0549-0138,nzd0549-0139,nzd0549-0140,nzd0549-0141,nzd0549-0142,nzd0549-0144,nzd0549-0145,nzd0549-0146,nzd0549-0147,nzd0549-0148,nzd0549-0149,nzd0549-0150,nzd0549-0151,nzd0549-0152,nzd0549-0153,nzd0549-0154,nzd0549-0155,nzd0549-0156,nzd0549-0157,nzd0549-0158,nzd0549-0159,nzd0549-0160,nzd0549-0161,nzd0549-0162,nzd0549-0163,nzd0549-0164,nzd0549-0165,nzd0549-0166,nzd0549-0167,nzd0549-0168,nzd0549-0169,nzd0549-0170,nzd0549-0171,nzd0549-0172,nzd0549-0174,nzd0549-0175,nzd0549-0176,nzd0549-0177,nzd0549-0178,nzd0549-0179,nzd0549-0180,nzd0549-0181,nzd0549-0182,nzd0549-0183,nzd0549-0184,nzd0549-0185,nzd0549-0186,nzd0549-0187,nzd0549-0188,nzd0549-0189,nzd0549-0190,nzd0549-0191,nzd0549-0192,nzd0549-0193,nzd0549-0194,nzd0549-0046,nzd0549-0047,nzd0549-0065,nzd0549-0066,nzd0549-0078,nzd0549-0105,nzd0549-0106,nzd0549-0107,nzd0549-0108,nzd0549-0109,nzd0549-0113,nzd0549-0117,nzd0549-0133,nzd0549-0134,nzd0549-0135,nzd0549-0136,nzd0549-0137,nzd0549-0173,nzd0549-0016,nzd0549-0076,nzd0549-0077,nzd0549-0087,nzd0549-0088,nzd0549-0089,nzd0549-0090,nzd0549-0091,nzd0549-0092,nzd0549-0093,nzd0549-0094,nzd0549-0098,nzd0549-0099,nzd0549-0100,nzd0549-0104,nzd0549-0111,nzd0549-0112,nzd0549-0143,nzd0549-0095,nzd0549-0096,nzd0549-0097,nzd0549-0075,nzd0549-0038,nzd0549-0045,nzd0549-0067,nzd0549-0068,nzd0549-0110,nzd0549-0043,nzd0549-0044,nzd0549-0040,nzd0549-0041,nzd0549-0042,nzd0549-0039
2000-09-20 22:11:38.892000,L7,,,,,,,,,,,,,,,,,,474.78,470.30,453.81,414.98,416.72,411.90,462.95,425.32,358.02,480.07,291.17,157.80,190.02,236.61,259.58,284.74,289.31,311.39,321.35,369.12,275.80,350.80,385.88,471.81,477.77,492.87,494.51,495.43,493.25,458.58,418.62,407.71,210.14,212.92,212.85,218.97,196.14,,,,,,,,,,,,,,,,,,,,435.38,416.83,347.39,382.92,303.77,246.08,241.09,225.24,177.33,261.11,224.27,193.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.16,172.61,163.07,,,,,,,,436.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.87,,,,,,,,
2000-09-27 22:17:24.534000,L7,,,,,,,,,,,,,,,160.25,,389.22,354.88,409.26,505.42,461.56,370.95,,,,,,,,,,,,,,,,360.81,439.41,385.07,475.06,281.78,,,185.50,455.43,439.37,377.16,395.20,374.62,379.02,288.64,278.08,423.85,,302.80,420.30,354.66,,204.03,479.89,385.23,,,274.80,325.09,237.21,144.93,317.56,527.39,186.98,,,328.75,521.80,474.07,439.04,484.39,415.71,398.45,,384.08,438.69,443.27,437.40,393.77,352.35,443.41,,508.41,,,,410.36,355.64,393.29,222.23,277.75,333.60,309.74,430.02,450.17,162.62,177.81,,218.42,278.69,186.87,176.26,156.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.85,336.90,321.74,385.88,213.96,,,,,,,268.19,,421.33,438.43,447.17,387.32,,,501.18,357.84,441.84,397.96,199.98,,,209.60,200.59,182.03,464.53,492.28,,,,,440.82,153.07,,,512.46,,218.31,,,,,346.14,,,,
2000-10-06 22:11:35.303000,L7,,,,,,321.97,451.89,187.64,188.64,207.45,233.46,235.77,230.29,195.70,380.16,301.19,,,,,,,,,,,,,,,,,414.44,482.98,398.87,405.15,,,253.33,,,445.17,454.69,377.44,473.01,469.30,,,,,,,,,,,,,,,423.89,413.75,372.23,396.27,,,,,,,,477.79,293.30,365.87,445.33,400.53,413.53,360.83,279.46,357.85,332.51,305.22,276.35,253.48,210.74,363.84,277.88,296.41,240.20,244.89,388.07,430.50,381.01,149.33,187.20,,347.19,515.87,499.71,491.10,520.52,491.25,493.89,487.07,,459.82,511.23,508.69,502.86,483.99,503.30,457.96,502.65,489.10,507.13,501.72,489.98,494.52,490.24,477.99,,,,,,,,,212.89,187.70,216.46,154.14,166.52,,,357.25,359.83,348.58,303.82,236.90,189.24,,,,,,,,334.07,277.95,178.70,294.07,321.01,,421.43,469.12,262.46,329.69,248.09,331.85,281.85,,523.60,,230.61,,,,,,,,,,,,418.49,,513.41,156.34,,,,,,,,,,,,,,,
2000-10-29 22:17:19.582000,L7,,,,,,,,,,,,506.17,452.18,,,,,,370.05,391.99,234.06,359.15,156.71,280.20,357.32,429.34,526.81,,,,,,,,,,,,,,,446.98,424.54,399.11,,,,363.88,368.82,359.51,489.69,476.30,469.36,448.46,241.78,491.93,,,,,,,,,,,,,,,445.00,,,,520.06,466.06,378.23,368.01,365.43,310.86,433.20,259.67,299.84,238.64,227.19,211.10,157.83,151.61,,236.19,443.09,,262.69,241.18,373.75,402.72,237.44,160.03,293.06,147.68,444.43,456.47,,400.75,317.62,271.70,210.40,,,,,,379.02,336.04,434.56,424.10,351.14,312.82,266.02,,,516.67,516.38,232.25,498.95,176.77,288.01,,,,,,,,,,,220.88,213.51,223.62,217.68,217.95,210.74,182.81,495.04,,427.52,422.21,,368.84,188.89,,,,,,440.35,457.94,335.66,344.18,426.52,350.53,,,,,,,,,,,,,,,454.14,,,232.82,,,,,,448.55,386.45,179.22,,,382.29,,,,
2001-02-11 22:11:12.788000,L7,375.75,388.14,372.21,337.21,281.64,231.32,437.01,506.99,503.16,157.27,183.08,191.46,204.61,172.75,134.95,,379.48,362.79,344.72,323.62,318.93,397.36,383.74,513.98,427.18,472.89,,,146.90,184.93,218.48,224.45,260.10,304.13,324.28,337.93,509.09,306.14,380.69,391.17,440.25,445.94,494.04,443.26,463.18,468.90,458.95,405.47,407.85,201.82,202.21,203.71,203.20,186.87,,,,,,,293.85,415.32,485.09,466.09,451.98,236.68,188.30,,,,,360.25,235.65,378.76,194.65,153.85,492.02,466.25,417.01,371.68,351.97,308.36,301.68,265.26,207.35,173.08,256.96,246.35,227.90,237.99,227.61,227.54,220.13,181.75,,,,,196.01,232.57,233.07,211.91,229.86,174.16,190.21,145.96,313.31,301.83,,269.85,240.60,256.80,350.95,257.73,265.88,262.57,461.58,452.73,450.01,229.66,301.78,253.50,443.67,286.38,288.11,466.41,270.91,227.24,218.57,422.39,235.77,278.60,136.85,268.33,225.68,412.72,432.72,450.17,443.58,381.93,394.42,173.27,274.45,362.47,124.84,218.67,166.04,151.06,235.63,458.82,390.76,402.37,359.64,148.49,496.38,308.72,207.65,189.05,224.54,253.83,271.08,442.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-11 22:11:36.766000,L7,,,,,,,,,,,,,,,,,375.39,360.07,333.21,329.56,317.43,350.02,287.83,443.03,432.67,464.11,,,151.46,184.52,215.42,224.17,257.01,308.20,321.94,341.34,445.48,306.42,388.47,424.39,461.26,457.28,495.66,475.23,471.73,473.98,457.35,402.53,407.89,202.85,204.78,204.86,207.85,190.04,,,,,,,236.77,389.09,467.37,464.71,224.88,224.49,,,,,,306.29,230.47,377.08,191.83,512.26,490.63,475.47,324.02,474.48,488.65,457.55,421.97,342.23,325.86,341.66,271.13,295.13,231.57,234.32,231.12,255.78,221.92,201.38,,,,,259.82,240.98,238.73,214.35,225.53,175.04,403.85,447.97,315.75,305.07,280.00,267.04,264.75,262.75,352.04,261.61,275.18,348.82,464.20,453.71,379.14,438.90,392.78,375.90,,,,,,224.74,221.56,214.89,230.11,289.41,253.68,266.00,272.39,386.70,430.24,451.09,442.37,368.82,374.83,367.04,365.26,361.04,137.64,229.35,167.79,155.37,,455.67,485.60,421.14,379.62,317.33,492.24,240.87,261.11,308.31,227.82,257.79,285.61,,,,,,,,,,,,,,,,,471.88,509.56,,,,,,,,,,,,,,,,
2001-03-06 22:17:18.578000,L7,,,,,,,,,,,,,,,,,471.61,262.93,252.50,254.36,,341.57,446.39,495.28,,,,,,,,,,,,,,505.18,353.62,369.33,379.77,350.64,185.81,202.42,298.46,282.78,,513.51,519.10,477.83,228.66,469.34,454.49,463.78,,420.34,190.66,510.25,479.84,265.95,,,,,,,438.04,436.36,,,171.88,335.34,452.08,374.44,,,,,509.45,480.97,502.30,,307.89,250.60,229.50,270.67,167.95,,,442.75,474.05,384.60,519.03,490.82,511.79,,370.72,473.50,417.28,402.83,340.43,381.08,500.94,252.15,397.49,464.82,479.02,469.18,486.24,493.10,492.69,485.29,459.12,456.11,150.57,255.03,404.70,400.22,368.41,352.24,310.43,243.11,,207.30,290.92,284.97,259.23,238.46,229.61,,,,,173.11,195.17,176.97,212.49,,221.04,205.50,,,,,490.99,464.51,427.39,409.68,,198.49,308.30,302.38,265.12,199.50,,,,,,,472.59,,481.78,499.11,,464.58,479.36,484.66,253.53,469.23,188.65,256.54,439.79,193.64,172.36,,273.46,,,502.93,509.29,386.84,345.08,242.13,,431.32,,,213.99,,,,,,
2001-03-22 22:17:09.568000,L7,,,,,,,,,410.03,487.39,452.38,,,421.42,386.86,338.77,,,321.98,426.13,337.23,189.33,185.25,294.03,199.69,305.22,385.09,,,,,,,,,,,,,,,445.89,491.41,414.50,,,338.90,383.97,363.50,508.25,486.61,491.54,480.89,464.95,184.45,495.32,,,,,,476.39,463.13,381.16,,,,249.50,,,,499.22,409.55,372.87,220.89,498.88,498.91,432.32,395.58,493.32,513.07,419.59,316.71,295.69,328.61,264.78,188.34,182.79,,,,,,410.21,493.74,241.60,153.11,,,,,,,184.33,249.18,138.60,,,306.87,368.41,,424.61,431.94,417.87,375.40,,352.10,346.41,171.70,274.36,303.37,,,261.11,292.37,216.29,222.20,290.21,248.21,,,,,,232.26,227.57,221.52,227.87,236.74,202.21,183.62,,,,496.24,,433.28,421.00,,483.70,235.60,140.88,282.53,327.45,509.27,270.32,,,,,,,507.86,,,217.09,,,,,,,,,,,,339.64,334.61,435.00,,,,,,464.54,406.95,185.50,,,455.18,,,,
2001-04-16 22:10:54.636000,L7,398.37,397.95,358.75,340.88,296.58,465.89,348.20,324.65,389.55,173.85,383.72,522.43,442.20,510.75,490.38,470.93,,,,462.45,377.77,410.61,388.96,232.75,448.26,489.07,464.72,480.98,507.95,487.61,222.16,225.51,271.37,318.43,439.22,405.86,,264.98,321.16,381.52,273.54,301.69,315.24,292.88,226.56,250.57,256.73,311.69,380.18,148.86,203.70,195.48,187.42,176.49,505.92,291.21,192.85,216.59,250.31,,509.60,,,346.97,282.93,497.36,257.64,299.07,,225.08,229.45,411.43,405.62,330.05,,495.05,489.48,456.90,479.19,,,,,,378.83,244.42,257.67,206.82,,,228.61,218.50,223.36,185.45,,,,,215.37,238.73,236.10,210.85,,,,,,,,,265.63,233.11,283.17,233.23,236.70,225.89,330.49,214.42,458.35,441.40,293.48,283.90,356.49,268.64,293.06,229.56,183.03,186.30,467.12,445.11,453.38,332.59,252.05,410.88,428.55,337.45,324.26,467.04,514.34,505.60,404.44,331.82,281.99,477.35,,144.09,,,450.70,467.63,,,,,471.57,,,,,,,340.94,444.70,354.82,340.03,255.37,244.67,281.25,372.83,291.84,488.72,471.46,477.59,327.19,283.78,323.17,155.41,360.37,311.58,,,,,,,,,,,,,,,,
2001-11-26 22:09:21.320000,L7,382.47,392.03,366.92,330.98,267.39,212.03,174.04,150.97,156.46,141.00,223.46,212.31,210.53,172.75,,,,,,,,,,439.04,424.18,,,,156.43,206.65,220.67,267.44,414.72,459.27,451.18,508.65,508.81,266.72,332.02,389.44,464.71,467.48,481.11,477.17,476.74,420.02,445.98,403.03,397.53,196.11,204.52,204.59,202.73,188.89,,,,,,,,,,,,,,,,,,427.78,408.75,446.73,357.15,395.18,398.61,316.66,499.24,486.97,505.50,481.79,472.91,393.44,491.93,512.05,252.63,232.45,174.83,297.87,406.77,409.04,306.06,387.58,422.76,488.58,179.58,167.40,302.31,284.72,265.20,257.27,238.95,236.64,206.35,347.59,325.91,318.98,339.41,314.62,252.34,302.64,489.78,485.51,453.48,466.59,458.80,454.04,250.43,299.32,401.76,,,,,,,,201.27,172.52,341.58,377.02,406.15,402.42,442.57,399.01,398.50,367.96,413.76,390.20,311.21,314.87,359.98,375.40,,189.73,166.62,154.52,,332.94,180.93,146.41,303.19,,468.11,287.99,175.19,422.38,463.90,444.07,352.03,,,,,,,,,,,,,,,,489.36,,,247.31,,,,,,,,,,,,,,,
2001-11-26 22:09:45.291000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.42,469.79,467.06,485.22,482.22,495.01,418.62,436.69,407.78,395.07,191.16,204.13,201.40,200.07,187.15,,,,,,,,,,,,,,,,,,431.34,402.20,377.58,307.57,450.76,434.92,408.42,353.29,,343.14,375.83,359.91,353.42,321.50,329.28,253.96,267.83,225.18,215.93,228.46,409.17,376.16,389.91,504.53,351.49,402.54,515.66,478.66,490.89,502.14,505.47,487.89,477.65,453.92,440.98,443.47,461.03,385.16,427.63,438.95,396.19,405.08,487.01,476.87,466.74,460.46,454.12,446.31,480.10,466.62,,,,,,,,,,,391.35,397.00,405.01,340.73,397.04,403.05,415.44,411.27,248.09,312.26,313.67,361.82,356.99,,,163.42,147.89,,286.24,168.31,274.77,302.70,,413.79,340.12,179.83,186.41,504.06,524.88,343.31,,,,,,,,,,,,,,,,486.98,,,516.53,,,,,,,,,,,,,,,
