dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033
2013-08-31 22:19:38.558000,L8,295.14,278.19,263.93,256.82,257.88,268.44,263.85,259.23,269.32,237.94,257.81,287.74,254.41,283.78,220.53,214.10,274.49,279.33,215.56,238.66,246.88,237.46,304.93,262.79,248.23,264.47,202.91,198.98,231.69,271.30,260.97,249.34,234.79,261.08
2013-10-18 22:19:25.762000,L8,296.31,283.11,264.90,252.75,254.09,261.21,258.16,248.28,220.21,200.88,247.41,257.83,246.01,273.51,220.19,208.49,271.95,239.39,185.15,231.80,233.38,232.19,265.76,236.37,228.46,224.50,185.40,188.02,221.58,253.56,242.86,237.27,225.62,254.01
2013-11-03 22:19:20.378000,L8,291.86,299.82,261.50,255.30,253.91,264.16,260.64,253.42,261.70,237.45,257.27,266.42,252.16,276.17,220.56,218.24,275.54,269.57,177.79,237.97,239.40,237.80,281.53,238.71,244.63,266.75,259.46,263.15,229.68,265.04,252.28,242.01,230.99,256.86
2013-12-05 22:19:13.005000,L8,302.22,305.25,454.81,261.23,265.70,257.79,251.14,248.37,226.47,226.03,264.34,282.02,290.10,283.35,297.29,311.82,276.66,233.23,176.19,288.25,287.80,299.87,302.64,271.40,286.61,291.85,281.85,273.85,251.96,278.62,247.88,239.33,231.48,525.34
2014-01-06 22:18:54.881000,L8,302.50,264.23,255.11,208.73,189.40,,244.10,247.91,219.36,233.98,258.60,274.23,245.61,275.65,268.39,228.99,273.10,265.37,201.10,235.64,239.51,241.86,273.95,255.35,220.73,221.08,,185.50,212.25,237.54,229.14,241.74,232.95,258.50
2014-02-07 22:18:33.391000,L8,295.49,277.50,266.53,260.68,261.07,268.19,265.31,258.36,269.20,233.49,270.64,286.05,250.60,289.70,275.48,221.02,275.84,278.60,219.18,253.22,237.39,311.40,303.58,254.00,255.37,252.07,246.14,198.49,231.18,283.79,261.50,247.10,231.20,260.53
2014-02-23 22:18:20.398000,L8,295.50,298.55,266.55,260.52,260.59,266.61,261.97,255.53,265.16,245.93,260.96,264.89,254.28,285.61,277.99,261.84,279.04,273.42,263.82,260.49,260.73,237.35,298.98,267.71,254.20,290.14,280.49,238.78,230.45,274.38,255.17,248.87,232.12,274.35
2014-03-27 22:17:50.001000,L8,291.56,277.82,263.75,256.57,256.07,266.50,264.99,257.42,268.57,247.42,257.70,262.94,248.96,283.55,276.16,252.61,274.41,273.80,181.88,256.97,238.17,235.21,275.45,264.04,249.71,246.77,187.53,190.16,224.44,284.36,252.65,249.08,229.39,256.53
2014-04-12 22:17:37.464000,L8,291.59,268.56,262.84,258.71,258.13,268.24,261.82,255.54,215.77,186.17,254.98,259.27,247.58,278.99,240.71,197.82,,,,249.80,234.44,234.78,270.38,253.89,245.43,244.18,191.93,191.27,,,,,,
2014-04-28 22:17:22.576000,L8,472.38,294.00,278.43,261.61,269.65,272.93,265.80,262.13,264.48,240.32,255.84,282.48,257.87,282.31,278.23,218.59,274.23,277.48,216.59,254.10,241.11,242.00,269.69,239.65,249.28,266.09,246.43,226.34,231.66,276.59,261.38,249.70,238.12,259.70
