dates,satname,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,nzd0190-0075
2002-08-27 21:54:00.253000,L7,211.43,397.53,484.45,489.84,483.69,451.07,399.06,393.38,403.55,401.28,394.83,376.77,407.75,378.27,400.92,389.05,411.90,425.47,420.52,461.32,458.07,449.36,457.68,453.08,442.15,460.58,438.22,422.32,433.55,424.59,465.79,495.63,490.44,522.21,526.06,522.65,505.07,470.80,441.93,421.23,400.37,415.26,469.73,497.80,,,,,488.27,417.77,,200.09,250.66,232.50,222.59,209.56,,243.14,297.85,234.12,293.92,221.43,,225.41,466.98,468.97,439.82,425.72,347.17,447.90,442.25,441.61,442.36,456.02,466.45,322.99,322.57,326.90,555.23,546.71,537.91,513.40,484.21,498.63,539.71,490.69,251.77,243.24,243.33,247.42,251.85,272.26,295.56,374.73,340.12,519.53,393.33,348.83,338.46,447.59,399.03,302.59,442.84,456.67,460.81,310.56,339.37,341.46,380.64,336.31,474.32
2002-10-05 21:59:55.463000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.59,484.84,506.28,528.79,503.55,,,,,,,,550.09,533.99,525.66,511.95,503.50,493.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.60,445.06,
2003-01-18 21:54:30.278000,L7,339.73,378.98,525.85,527.90,289.46,258.70,245.69,236.19,234.75,337.43,345.84,378.66,336.88,378.46,309.35,297.55,417.54,397.70,412.02,369.71,478.46,468.99,468.47,411.48,364.70,185.67,184.52,195.83,197.80,236.09,242.48,255.28,265.55,269.71,285.46,306.80,292.82,297.69,297.35,272.09,275.35,266.31,298.68,338.66,365.53,420.12,431.60,448.52,454.83,465.05,488.37,,509.76,502.24,489.28,522.13,507.20,515.86,484.22,473.53,470.11,480.23,469.33,462.76,429.94,407.50,545.70,522.07,459.97,502.80,523.98,425.65,533.84,521.89,505.75,509.43,323.00,470.11,329.77,336.47,348.01,329.27,332.35,327.79,310.03,308.76,291.76,334.25,284.99,270.78,279.14,211.06,213.55,205.25,224.10,244.74,246.31,322.92,372.07,335.09,336.66,345.70,363.95,357.45,367.27,309.77,237.60,243.64,519.18,484.76,492.68
2003-01-25 22:00:42.755000,L7,250.71,355.38,385.28,498.47,521.04,409.43,392.25,331.15,236.43,186.94,314.36,310.43,334.40,351.79,380.75,357.33,354.01,358.45,369.32,362.48,406.08,389.47,384.19,374.31,378.26,,522.19,493.50,520.46,502.41,494.91,515.25,526.37,520.62,513.02,488.62,498.55,494.19,490.48,455.15,458.24,483.50,501.42,522.43,,394.53,391.43,304.61,333.74,234.69,316.12,357.78,420.33,,,378.27,373.07,347.12,,,,,,,,534.41,549.68,490.94,528.28,506.09,475.26,357.50,330.43,346.18,338.39,339.94,325.35,311.64,310.64,309.52,295.54,234.24,291.43,245.59,232.70,290.24,295.99,266.66,369.93,540.23,505.98,508.29,502.98,547.67,520.10,241.60,379.09,402.22,410.34,350.98,287.18,323.52,302.30,330.01,325.04,316.29,340.69,386.76,426.96,437.13,339.40
2003-10-25 21:44:04.226000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.31,464.48,
2004-02-14 21:44:57.678000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.99,458.86,
2004-04-18 21:45:49.558000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.37,
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.95,183.80,200.12,373.27,
2005-01-15 21:52:09.437000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.48,452.89,
2005-02-16 21:52:37.927000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.65,240.13,
2005-11-15 21:54:26.309000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.54,231.15,
2006-02-03 21:56:19.035000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.28,463.02,
2006-04-08 21:57:36.601000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44,215.64,444.60,
2010-01-13 21:56:49.389000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.40,449.16,
2010-01-29 21:56:53.427000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.97,353.75,
2011-02-17 21:56:00.979000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.49,439.85,
2013-04-11 22:08:15.067000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.22,402.47,411.95,404.39,378.21,405.04,414.54,406.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05 22:14:15.215000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.27,313.82,306.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-17 22:08:03.120000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.06,404.49,396.37,404.35,,,,,,,,
2013-11-05 22:07:46.855000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.64,373.52,365.61,,,,,,,,,,,,,,,,,394.24,365.61,360.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.69,468.30,
2013-11-21 22:07:37.752000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.00,375.79,
2014-01-31 22:13:16.756000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.97,431.72,425.61,412.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-16 22:13:02.774000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.63,293.38,281.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.16
2014-02-25 22:06:44.447000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.70,527.55,552.68,532.44,536.86,548.20,488.38,439.88,488.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-29 22:06:15.961000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.69,331.36,349.00,346.59,,347.90,338.46,,,232.52,303.29,325.62,326.50,,,339.51,356.49,311.99,517.48,
2014-04-05 22:12:22.648000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.63,287.76,,,,,,,,,,439.78,445.62,448.89,464.33,458.81,430.42,409.31,,,,,,,,,,356.32,363.44,367.75,385.68,377.91,,,,,,,,,,,,,,,,,,,,,493.49,488.22,490.44,,,,,,,,363.73
2014-07-03 22:05:50.119000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.84,496.35,502.36,493.35,479.09,,,,,,,,,,,,,,,409.33,401.44,374.74,,,,,,,,,
2014-07-10 22:12:04.328000,L8,,162.99,197.00,207.45,329.36,302.01,284.90,224.75,,,,217.76,222.03,177.01,,,,,,,,,,,,,,,,,,,,,,,524.41,512.90,494.65,,,,,,,,,,,,,446.25,451.57,443.81,426.04,419.19,386.70,400.15,404.32,388.80,378.09,359.44,,,,,,354.84,341.08,337.82,310.84,307.04,,,,,,,,,252.96,272.41,263.41,242.87,239.74,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-26 22:12:07.121000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.31,533.65,537.44,547.71,532.27,530.51,546.07,536.72,522.56,469.92,484.56,455.02,433.58,432.26,445.59,461.12,455.20,453.94,446.11,456.30,,430.42,427.56,438.71,437.51,438.57,412.47,403.11,402.94,403.05,396.69,389.38,361.08,347.70,351.06,354.20,358.85,349.89,341.69,332.44,317.51,295.21,298.37,298.68,266.33,290.94,278.30,263.83,288.97,288.53,229.79,226.21,236.09,227.00,220.11,227.83,223.39,214.02,213.07,200.85,,,,,,,,,,,,,,,,,,,,,,,286.60
2014-08-11 22:12:15.935000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.45,507.05,541.24,524.34,554.45,546.15,543.57,507.96,487.85,471.05,470.54,447.51,385.81,417.13,413.16,,421.28,421.44,430.79,411.64,387.23,388.32,394.37,413.52,380.64,,381.45,387.26,383.16,,,,,,,,326.28,320.19,307.96,332.44,316.74,305.78,293.12,246.24,236.99,254.10,269.25,242.06,242.36,201.53,228.84,231.05,217.24,219.98,218.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.42
