dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
2005-01-22 21:58:02.481000,L5,330.44,330.24,308.95,286.31,295.52,313.99,317.75,323.27,328.27,325.69,302.08,304.70,312.34,318.07,319.95,333.30,341.91
2005-02-16 21:52:13.954000,L5,,,,,,,288.43,290.55,243.38,289.90,,,,,,,294.90
2005-02-23 21:58:31.621000,L5,228.53,260.04,289.28,220.81,265.62,281.37,292.67,294.32,291.35,292.90,241.47,,274.11,288.21,288.21,,303.11
2005-03-11 21:58:44.158000,L5,213.77,262.21,277.74,218.28,263.24,250.89,299.03,291.70,291.88,289.99,247.56,261.74,258.66,286.90,291.01,241.44,305.74
2005-04-12 21:58:55.193000,L5,348.91,320.12,320.68,276.09,294.77,318.97,331.35,327.90,331.39,325.50,297.18,301.74,309.57,318.30,265.90,261.80,258.89
2005-05-30 21:59:15.499000,L5,333.15,335.18,334.10,297.63,301.32,329.46,329.02,331.76,333.14,331.87,301.52,307.68,314.61,321.35,320.48,323.11,333.73
2005-07-17 21:59:35.576000,L5,198.15,237.00,283.23,232.86,269.95,286.09,296.25,301.30,286.65,277.80,197.14,,272.43,286.86,295.15,,
2005-07-26 21:53:30.504000,L5,,,,,,,296.40,305.56,290.34,283.24,,,272.50,287.72,296.17,,
2005-09-19 21:59:56.928000,L5,191.39,239.23,273.18,223.55,256.63,236.82,289.70,285.33,221.43,238.67,,,274.56,284.37,287.11,,
2005-11-22 22:00:23.113000,L5,,219.90,254.20,215.21,262.38,250.21,287.98,292.15,278.25,285.48,195.17,,,,,289.35,303.02
2006-04-08 21:57:12.628000,L5,,,,219.73,267.91,280.84,282.01,298.92,296.80,295.65,260.59,,,,,,
2006-05-17 22:03:57.969000,L5,283.74,250.55,289.28,231.54,270.95,282.25,289.25,303.78,291.64,289.68,257.59,280.73,,,,285.13,303.36
2006-06-02 22:04:12.415000,L5,207.83,245.66,291.73,227.26,276.35,289.52,302.44,299.63,294.65,297.02,272.38,,277.14,277.45,284.03,,
2006-08-21 22:05:19.629000,L5,292.74,261.45,298.33,246.84,277.23,297.14,303.93,305.03,297.62,271.75,194.41,,,,,,298.41
2006-10-24 22:06:02.805000,L5,222.07,250.28,300.49,229.40,,,,,,,,,,,,,
2006-11-25 22:06:19.953000,L5,227.91,258.12,247.83,238.08,261.10,277.34,275.90,281.73,292.29,257.11,261.71,,,,211.97,342.49,401.70
2006-12-11 22:06:52.177000,L5,231.64,268.51,229.30,217.93,251.34,200.94,256.44,249.07,259.40,215.77,220.87,243.40,260.42,284.55,306.26,318.41,414.64
2007-02-13 22:06:47.368000,L5,217.02,252.78,286.58,190.66,,,200.23,282.01,229.74,281.07,259.42,270.90,277.04,292.76,293.34,182.14,293.82
2008-02-16 22:02:22.163000,L5,319.08,314.85,311.27,278.95,291.89,314.44,321.99,350.67,259.00,223.81,244.96,291.34,307.10,318.67,309.77,258.54,303.38
